ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.6345,-11.2067,4.1942,0.3555,-9.8002,0.0043,2.2343,-0.8995,2.6452,-19.63,58.15,-15.49,297.9,87.96,-170.97,0.0,63.711,35.17808,126.90892,,NaN,,130.64516,,0 / 21,7,2014-12-14 14:47:48:407
1.8374,-12.9693,3.7535,1.2708,-9.6672,1.0491,0.9231,-2.2366,2.7545,-19.63,59.65,-20.18,196.27,82.57,-56.73,0.0,63.711,35.17808,126.90892,,NaN,,130.64516,,0 / 21,57,2014-12-14 14:47:48:457
2.7953,-12.5861,1.627,1.3753,-9.6314,1.2307,1.4557,-2.3138,1.0475,-21.13,57.09,-30.99,200.04,79.15,-48.18,0.0,63.711,35.17808,126.90892,,NaN,,130.64516,,0 / 21,107,2014-12-14 14:47:48:507
-2.4349,-9.0035,-2.2047,0.9014,-9.7501,0.5411,-2.6901,1.3511,-2.2657,-18.51,55.96,-38.61,200.04,79.15,-48.18,0.0,63.711,35.17808,126.90892,,NaN,,130.64516,,0 / 21,157,2014-12-14 14:47:48:557
-2.4349,-7.3367,-2.2813,0.4964,-9.791,0.2453,-2.987,2.2685,-2.1949,-16.7,52.28,-46.49,221.98,83.85,-59.03,0.0,63.711,35.17808,126.90892,,NaN,,130.64516,,0 / 21,207,2014-12-14 14:47:48:607
-1.2471,-3.62,-0.2889,0.0572,-9.8063,0.0543,-1.4998,5.1354,-0.1163,-14.88,52.65,-47.61,237.19,88.04,-72.79,0.0,63.711,35.17808,126.90892,,NaN,,130.64516,,0 / 21,257,2014-12-14 14:47:48:657
-1.0172,-3.8499,-0.4038,-0.1001,-9.8061,-0.0116,-0.7986,4.4399,-0.3897,-14.51,53.4,-47.49,65.11,89.41,96.61,0.0,65.722,35.17808,126.90892,,NaN,,130.64516,,0 / 21,307,2014-12-14 14:47:48:707
1.8183,-6.2255,0.9373,0.2315,-9.8037,0.0652,1.8068,1.6659,0.7632,-14.51,55.21,-45.36,65.11,89.41,96.61,0.0,65.722,35.17808,126.90892,,NaN,,130.64516,,0 / 21,357,2014-12-14 14:47:48:757
-0.0018,-7.0685,1.6078,0.2942,-9.7978,0.295,-0.2181,0.4905,1.2533,-12.63,59.65,-38.93,238.65,88.59,-74.26,0.0,65.722,35.17808,126.90892,,NaN,,130.64516,,0 / 21,407,2014-12-14 14:47:48:807
1.1286,-9.4441,0.8415,0.4023,-9.7832,0.5451,0.8793,-1.3911,0.7804,-11.95,61.15,-36.24,197.6,87.27,-34.69,0.0,65.722,35.17808,126.90892,,NaN,,130.64516,,0 / 21,457,2014-12-14 14:47:48:857
