sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.0297;-9.8949;0.657;-0.5308;-9.7903;0.1951;-0.5685;-0.113;0.4262;0.0073;-0.0281;-0.0195;67.0;33.0;1.6;6.7;212.3;86.69;69.82;;64.361;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;31;2014-11-22 11:16:32:516
-0.7649;-9.9145;0.3236;-0.2238;-9.8027;-0.1669;-0.3647;-0.2228;0.6956;-0.1918;0.0208;-0.1222;67.0;30.8;2.5;9.1;189.99;87.81;96.25;;37.216;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;555;2014-11-22 11:16:33:040
-0.4413;-9.9341;-1.2749;0.2825;-9.7165;-1.2959;-0.622;-0.1385;-0.079;0.0037;0.1148;-0.0195;54.0;28.6;4.2;13.0;100.81;83.4;-167.55;;41.617;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;1075;2014-11-22 11:16:33:560
-0.6178;-9.8459;-0.8434;0.3042;-9.7602;-0.9035;-0.7651;-0.1151;0.0307;0.1038;-0.1185;-0.0049;54.0;28.6;5.1;13.5;96.27;84.42;-161.39;;38.07;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;1575;2014-11-22 11:16:34:060
-0.2942;-9.9636;-0.6472;0.2804;-9.7315;-1.1791;-0.5354;-0.3302;0.6594;-0.0073;0.0415;-0.0134;54.0;28.2;4.6;14.5;103.84;83.34;-166.77;;44.713;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;2096;2014-11-22 11:16:34:581
-0.3334;-9.9832;-0.6178;0.2768;-9.7319;-1.1764;-0.5791;-0.2699;0.4624;0.0208;-0.044;0.0;54.0;28.2;5.1;15.5;105.21;83.13;-166.6;;35.512;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;2603;2014-11-22 11:16:35:088
-0.2157;-9.8557;-0.6865;0.2777;-9.7304;-1.1884;-0.4821;-0.2018;0.496;0.0257;-0.011;-0.0012;54.0;28.6;5.1;14.5;103.64;82.97;-166.65;;34.936;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;3119;2014-11-22 11:16:35:604
-0.0686;-9.9734;-0.6767;0.2606;-9.718;-1.2892;-0.5651;-0.2457;0.5549;0.0354;-0.0953;-0.0183;54.0;28.2;4.2;14.0;104.05;82.29;-168.57;;35.996;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;3622;2014-11-22 11:16:36:107
-0.5884;-9.9145;-0.559;0.3094;-9.7293;-1.1895;-0.8452;-0.2228;0.601;0.044;0.0953;0.022;54.0;28.2;5.1;14.5;104.18;83.05;-167.17;;39.294;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;4133;2014-11-22 11:16:36:618
-0.1373;-9.9636;-0.5492;0.288;-9.737;-1.1303;-0.3549;-0.1852;0.5556;0.0147;0.0183;-0.0147;54.0;28.2;5.1;14.0;106.52;83.27;-170.27;;40.294;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;4649;2014-11-22 11:16:37:134
-0.353;-9.9636;-0.9316;0.1156;-9.7287;-1.2283;-0.4144;-0.2299;0.261;0.011;-0.1759;-0.0623;54.0;28.2;5.1;15.0;114.35;83.08;-177.32;;35.398;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;5149;2014-11-22 11:16:37:634
-0.1667;-9.9636;-0.8826;0.4011;-9.7036;-1.3602;-0.6371;-0.2498;0.4061;0.0;0.0012;0.0086;54.0;27.7;5.1;15.5;101.92;81.69;-163.57;;39.059;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;5663;2014-11-22 11:16:38:148
-0.1667;-9.9734;-0.9316;0.345;-9.6964;-1.4253;-0.5036;-0.2824;0.5268;0.0024;-0.0367;-0.0208;46.0;27.3;5.1;16.9;107.73;81.61;-166.97;;35.224;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;6183;2014-11-22 11:16:38:668
-0.1079;-10.0224;-0.8924;0.4087;-9.6827;-1.4998;-0.502;-0.2904;0.5871;0.0037;0.0159;-0.0073;46.0;27.3;5.1;16.0;103.81;80.98;-164.73;;35.615;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;6684;2014-11-22 11:16:39:169
-0.1079;-9.993;-1.0199;0.3928;-9.6786;-1.5297;-0.5198;-0.2361;0.5406;0.0318;-0.011;-0.0061;46.0;27.3;5.5;16.9;105.83;80.69;-165.53;;35.49;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;7187;2014-11-22 11:16:39:672
-0.1373;-9.9439;-0.9022;0.3688;-9.6891;-1.4685;-0.5142;-0.2855;0.5449;0.0208;-0.0098;0.0049;46.0;27.3;5.5;16.9;106.42;81.07;-166.04;;35.616;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;7697;2014-11-22 11:16:40:182
-0.2157;-10.0126;-0.9022;0.3695;-9.6942;-1.4343;-0.5754;-0.289;0.5223;0.022;-0.0012;-0.011;46.0;27.3;5.1;15.0;103.02;81.23;-165.51;;35.975;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;8209;2014-11-22 11:16:40:694
-0.255;-10.0126;-0.8532;0.3624;-9.6967;-1.4191;-0.5193;-0.2571;0.4874;0.0257;0.0037;-0.0098;46.0;27.3;5.1;16.0;104.31;81.37;-165.42;;35.377;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;8711;2014-11-22 11:16:41:196
-0.0686;-9.993;-0.912;0.3632;-9.6938;-1.438;-0.4369;-0.2991;0.5245;0.033;0.0073;-0.0037;46.0;27.3;5.1;16.4;103.63;81.32;-165.35;;35.664;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;9212;2014-11-22 11:16:41:697
-0.1373;-9.9734;-0.9316;0.3427;-9.696;-1.4284;-0.5406;-0.3361;0.5057;0.0171;-0.0171;0.0049;46.0;27.3;5.1;16.0;105.66;81.39;-166.51;;35.553;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;9732;2014-11-22 11:16:42:217
-0.2256;-9.9439;-0.7943;0.3373;-9.7023;-1.3864;-0.5545;-0.3014;0.5982;0.0244;-0.0012;-0.0061;46.0;27.7;5.5;15.5;104.41;81.63;-166.33;;35.683;35.17798;126.908905;;;64.51613;0 / 0;86.0;28.0;3.691;10237;2014-11-22 11:16:42:722
