ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2452,-9.7674,1.7554,-1.0242,-9.1314,3.4263,1.1811,-0.6262,-1.6415,0.7465,-0.0012,0.6536,5481.0,-26.0,36.1,15.0,31.65,68.61,16.64,,55.471,,,,NaN,,,,0 / 0,15,2014-12-14 04:52:19:761
0.2059,-9.8459,1.8535,-1.0274,-9.1479,3.3809,1.2334,-0.698,-1.5275,0.7428,0.0293,0.6671,5481.0,-26.0,35.7,15.0,31.59,68.85,16.84,,55.471,,,,NaN,,,,0 / 0,67,2014-12-14 04:52:19:813
0.2157,-9.8066,1.9417,-1.0325,-9.1489,3.3767,1.1798,-0.5983,-1.4432,0.7599,0.0012,0.6524,5481.0,-26.0,36.1,14.0,32.61,68.88,16.9,,55.471,,,,NaN,,,,0 / 0,115,2014-12-14 04:52:19:861
0.2354,-9.787,1.8338,-1.0286,-9.1466,3.384,1.2639,-0.6404,-1.5502,0.7624,0.0232,0.6487,5481.0,-26.5,36.1,15.5,32.61,68.88,16.9,,55.471,,,,NaN,,,,0 / 0,165,2014-12-14 04:52:19:911
0.2844,-9.8066,1.7946,-1.0202,-9.1561,3.3608,1.3046,-0.6505,-1.5662,0.7611,-0.0061,0.6573,5481.0,-26.5,36.1,14.5,31.3,68.93,16.9,,55.471,,,,NaN,,,,0 / 0,215,2014-12-14 04:52:19:961
0.2746,-9.787,1.8142,-1.016,-9.1562,3.3618,1.2906,-0.6308,-1.5475,0.7587,0.0012,0.6548,5481.0,-26.5,36.6,15.0,31.39,69.02,16.82,,55.471,,,,NaN,,,,0 / 0,266,2014-12-14 04:52:20:012
0.2746,-9.787,1.8338,-0.9995,-9.1638,3.3462,1.2787,-0.6261,-1.5186,0.7416,-0.0098,0.6585,5481.0,-25.6,36.6,14.5,31.51,69.08,16.67,,39.821,,,,NaN,,,,0 / 0,315,2014-12-14 04:52:20:061
0.1667,-9.6203,1.7162,-1.0035,-9.1738,3.3174,1.1702,-0.4465,-1.6012,0.6597,-0.0428,0.672,5481.0,-26.0,36.6,15.0,31.48,69.3,16.83,,39.821,,,,NaN,,,,0 / 0,365,2014-12-14 04:52:20:111
0.1863,-9.6007,1.471,-1.0145,-9.2059,3.2237,1.2008,-0.3948,-1.7527,0.5461,-0.0806,0.6646,5481.0,-26.0,36.1,16.0,31.48,69.3,16.83,,39.821,,,,NaN,,,,0 / 0,415,2014-12-14 04:52:20:161
-0.1471,-10.0224,1.9515,-0.9767,-9.2489,3.1102,0.8296,-0.7735,-1.1587,0.6658,-0.1307,0.6512,5481.0,-26.5,36.6,17.5,28.44,70.58,17.43,,39.821,,,,NaN,,,,0 / 0,465,2014-12-14 04:52:20:211
