ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1079,-10.042,0.3432,-3.0082,-8.8589,2.9395,3.1161,-1.1831,-2.5962,1.2449,1.1924,1.2144,525.0,-86.1,4.7,31.2,26.14,64.6,45.66,,59.796,,,,NaN,,,,0 / 0,8,2014-12-14 04:25:06:278
0.1079,-10.042,0.3432,-3.0082,-8.8589,2.9395,3.1161,-1.1831,-2.5962,1.2449,1.1924,1.2144,525.0,-86.1,4.7,31.2,26.14,64.6,45.66,,59.796,,,,NaN,,,,0 / 0,59,2014-12-14 04:25:06:329
0.1079,-9.9439,0.255,-3.0109,-8.8575,2.9412,3.1187,-1.0865,-2.6862,1.2547,1.1887,1.2205,525.0,-87.0,5.2,31.7,25.76,64.58,45.67,,59.796,,,,NaN,,,,0 / 0,109,2014-12-14 04:25:06:379
0.2256,-9.9636,0.2354,-3.0162,-8.863,2.919,3.2417,-1.1006,-2.6837,1.2266,1.2107,1.2046,525.0,-87.0,4.7,30.7,26.07,64.66,45.94,,59.796,,,,NaN,,,,0 / 0,159,2014-12-14 04:25:06:429
0.2648,-9.9538,0.2354,-3.011,-8.865,2.9182,3.2758,-1.0887,-2.6828,1.2278,1.2095,1.2058,525.0,-87.0,4.7,30.2,26.07,64.66,45.94,,59.796,,,,NaN,,,,0 / 0,208,2014-12-14 04:25:06:478
0.1667,-9.9636,0.2746,-3.0002,-8.8768,2.8934,3.0296,-1.0966,-2.5796,1.2401,1.2217,1.2156,525.0,-87.0,4.7,32.1,25.61,64.81,45.78,,59.796,,,,NaN,,,,0 / 0,259,2014-12-14 04:25:06:529
0.0196,-10.0028,0.3138,-3.0002,-8.8768,2.8934,3.0296,-1.0966,-2.5796,1.2401,1.2217,1.2156,525.0,-87.0,4.7,31.2,25.61,64.81,45.78,,59.796,,,,NaN,,,,0 / 0,309,2014-12-14 04:25:06:579
0.1275,-9.9636,0.4707,-3.0268,-8.8648,2.9025,3.1899,-1.1407,-2.3457,1.2388,1.1741,1.1887,525.0,-87.0,5.2,31.7,25.13,64.74,46.25,,59.796,,,,NaN,,,,0 / 0,359,2014-12-14 04:25:06:629
-0.1177,-9.9439,0.5296,-2.9695,-8.8597,2.9764,2.8518,-1.0843,-2.4468,1.1826,1.1668,1.1484,525.0,-87.0,4.7,31.7,26.52,64.61,44.93,,59.796,,,,NaN,,,,0 / 0,409,2014-12-14 04:25:06:679
0.2256,-9.9538,0.5001,-2.966,-8.8514,3.0045,3.1915,-1.1024,-2.5043,1.2058,1.1374,1.1277,525.0,-87.0,4.7,32.1,26.52,64.61,44.93,,35.557,,,,NaN,,,,0 / 0,458,2014-12-14 04:25:06:728
0.304,-9.9734,0.3236,-2.9369,-8.8607,3.0054,3.2409,-1.1127,-2.6818,1.1179,1.19,1.0825,525.0,-87.0,5.2,31.2,27.74,64.63,44.34,,35.557,,,,NaN,,,,0 / 0,508,2014-12-14 04:25:06:778
