ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT ( lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY ( cm),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.6178,-9.9439,0.1961,0.853,-9.7694,-0.0465,-0.294,-0.1255,0.2427,0.0281,0.0122,-0.011,163.0,-94.0,30.4,81.4,141.51,85.0,-93.12,,56.851,,,,NaN,,,,0 / 0,11,2014-12-14 04:29:15:236
0.559,-9.9538,0.559,0.8526,-9.7695,-0.0136,-0.2936,-0.1842,0.5726,0.0745,0.0415,-0.0086,163.0,-94.4,30.4,81.4,139.27,85.01,-90.91,,56.851,,,,NaN,,,,0 / 0,61,2014-12-14 04:29:15:286
0.4805,-9.9538,0.6669,0.8521,-9.7695,0.0226,-0.3716,-0.1842,0.6443,0.1051,0.0452,0.0061,163.0,-94.0,30.8,80.9,139.27,85.01,-90.91,,56.851,,,,NaN,,,,0 / 0,111,2014-12-14 04:29:15:336
0.4707,-9.8851,0.1667,0.8207,-9.7713,0.1366,-0.35,-0.1138,0.0302,0.077,-0.0855,-0.022,163.0,-94.4,30.8,80.4,129.1,85.13,-80.55,,56.851,,,,NaN,,,,0 / 0,161,2014-12-14 04:29:15:386
0.657,-9.689,0.5001,0.8642,-9.7685,-0.0268,-0.2072,0.0795,0.5269,-0.1478,0.2602,-0.0367,163.0,-94.8,30.8,80.4,132.06,85.14,-83.44,,38.619,,,,NaN,,,,0 / 0,210,2014-12-14 04:29:15:435
-0.4021,-10.3558,0.5492,0.8273,-9.7715,-0.0563,-1.2294,-0.5843,0.6054,-0.1723,0.099,-0.1234,163.0,-95.3,29.5,82.9,141.94,85.15,-93.89,,38.619,,,,NaN,,,,0 / 0,260,2014-12-14 04:29:15:485
0.2648,-9.7576,0.3923,0.7574,-9.7771,-0.0681,-0.2065,0.0482,0.6047,-0.1649,0.1772,-0.1723,163.0,-95.7,29.5,82.9,141.94,85.15,-93.89,,38.619,,,,NaN,,,,0 / 0,310,2014-12-14 04:29:15:535
0.3628,-10.0028,0.9022,0.9449,-9.7608,-0.0663,-0.582,-0.242,0.9685,-0.1674,0.2053,-0.2676,163.0,-96.6,28.6,83.4,145.81,85.26,-97.06,,38.619,,,,NaN,,,,0 / 0,361,2014-12-14 04:29:15:586
0.2648,-10.0322,0.8826,0.9606,-9.7593,-0.0552,-0.6959,-0.2729,0.9378,-0.1564,0.2004,-0.2773,163.0,-97.4,28.6,83.9,141.47,84.37,-93.29,,38.619,,,,NaN,,,,0 / 0,411,2014-12-14 04:29:15:636
0.2648,-10.0322,0.8826,0.9606,-9.7593,-0.0552,-0.6959,-0.2729,0.9378,-0.1564,0.2004,-0.2773,163.0,-97.4,28.6,83.9,141.47,84.37,-93.29,,38.619,,,,NaN,,,,0 / 0,460,2014-12-14 04:29:15:685
0.3923,-9.6301,0.4707,1.0555,-9.7495,-0.0551,-0.6633,0.1194,0.5258,-0.2187,0.0195,-0.3176,127.0,-98.7,28.2,83.9,141.68,83.81,-92.99,,38.619,,,,NaN,,,,0 / 0,510,2014-12-14 04:29:15:735
0.6669,-10.0028,0.6865,1.1543,-9.7371,-0.1628,-0.4874,-0.2657,0.8493,-0.3348,-0.1295,-0.3616,127.0,-98.7,27.3,84.8,146.41,83.17,-98.03,,38.619,,,,NaN,,,,0 / 0,560,2014-12-14 04:29:15:785
1.1278,-10.4049,0.5884,1.3409,-9.7124,-0.2034,-0.2132,-0.6924,0.7918,-0.1686,-0.3433,-0.4056,127.0,-100.0,26.9,86.3,146.79,82.05,-98.63,,38.619,,,,NaN,,,,0 / 0,611,2014-12-14 04:29:15:836
1.0983,-10.3558,0.608,1.5486,-9.6824,-0.1504,-0.4503,-0.6734,0.7584,0.1173,-0.5351,-0.3787,127.0,-99.2,26.9,85.3,143.42,80.87,-95.55,,59.974,,,,NaN,,,,0 / 0,661,2014-12-14 04:29:15:886
1.0003,-10.395,0.7159,1.5761,-9.6782,-0.134,-0.5759,-0.7168,0.8499,0.1222,-0.5351,-0.3677,127.0,-99.6,26.9,85.8,143.42,80.87,-95.55,,59.974,,,,NaN,,,,0 / 0,710,2014-12-14 04:29:15:935
0.2059,-10.6794,0.4119,1.6196,-9.6703,0.1834,-1.4136,-1.0092,0.2285,0.6219,-0.4117,-0.1552,127.0,-98.3,28.2,83.4,131.31,80.43,-83.54,,59.974,,,,NaN,,,,0 / 0,760,2014-12-14 04:29:15:985
0.2059,-10.6794,0.4119,1.6196,-9.6703,0.1834,-1.4136,-1.0092,0.2285,0.6219,-0.4117,-0.1552,127.0,-98.3,28.2,83.4,131.31,80.43,-83.54,,59.974,,,,NaN,,,,0 / 0,810,2014-12-14 04:29:16:035
1.7162,-10.0028,-0.5884,1.4686,-9.6616,0.8173,1.8951,0.2276,-0.984,1.1325,-0.2993,0.4887,127.0,-94.8,32.1,76.5,109.15,80.13,-60.9,,59.974,,,,NaN,,,,0 / 0,861,2014-12-14 04:29:16:086
1.3435,-10.0714,-0.4805,1.5698,-9.6261,1.0218,-0.2263,-0.4453,-1.5023,0.8613,-0.2993,0.4887,127.0,-92.2,33.9,72.6,109.15,80.13,-60.9,,59.974,,,,NaN,,,,0 / 0,911,2014-12-14 04:29:16:136
0.9218,-9.4634,-0.1079,1.3389,-9.6569,1.0593,-0.417,0.1935,-1.1672,0.6866,-0.3787,0.595,342.0,-89.6,34.3,68.2,101.41,79.97,-51.65,,59.974,,,,NaN,,,,0 / 0,961,2014-12-14 04:29:16:186
1.7554,-8.571,1.0689,1.0391,-9.6934,1.0627,0.7162,1.1224,0.0062,0.2615,-0.788,0.4594,342.0,-86.1,34.7,65.3,101.41,79.97,-51.65,,59.974,,,,NaN,,,,0 / 0,1010,2014-12-14 04:29:16:235
