ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.4005,-9.8273,1.1671,-0.1029,-9.7443,1.0991,0.3397,-0.1831,0.0161,-7.2,35.53,1.01,47.76,83.31,8.16,0.0,70.165,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,5,2014-12-14 14:15:14:054
1.3968,-9.7698,1.9143,0.0306,-9.7378,1.1595,1.1231,-0.2286,0.6187,-6.45,35.9,3.32,47.76,83.31,8.16,0.0,70.165,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,55,2014-12-14 14:15:14:104
2.1248,-10.0572,2.0293,0.3125,-9.7187,1.2725,2.2406,0.4723,0.6016,-7.2,34.78,2.45,49.88,83.21,-1.51,0.0,70.165,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,105,2014-12-14 14:15:14:154
2.9486,-10.2488,2.4699,0.6224,-9.6794,1.4463,1.4945,-0.2293,0.9429,-7.57,34.09,2.58,59.35,80.76,-23.29,0.0,65.2,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,159,2014-12-14 14:15:14:208
2.9869,-10.9576,1.5695,1.1513,-9.625,1.4849,2.1194,-0.7045,0.6453,-7.95,33.34,2.45,59.35,80.76,-23.29,0.0,65.2,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,206,2014-12-14 14:15:14:255
0.0557,-10.2105,-1.8599,1.247,-9.6251,1.4043,1.5166,-1.0173,-1.0189,-8.32,34.84,0.89,71.16,78.95,-37.79,0.0,65.2,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,255,2014-12-14 14:15:14:304
0.1706,-11.0151,0.8031,0.993,-9.7042,1.0067,-1.4897,-0.7645,0.1644,-7.95,32.96,-0.24,94.88,80.72,-47.15,0.0,65.2,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,305,2014-12-14 14:15:14:354
-1.9559,-9.7698,1.7802,0.8481,-9.7135,1.0479,-2.1114,-0.3559,0.6291,-10.88,32.21,-2.93,125.57,82.1,-38.98,0.0,65.2,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,355,2014-12-14 14:15:14:404
-0.5191,-7.49,0.8798,0.4061,-9.7337,1.1228,-0.4663,2.489,-0.4366,-10.13,31.46,-4.61,125.57,82.1,-38.98,0.0,65.2,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,405,2014-12-14 14:15:14:454
0.6688,-6.8769,0.1901,0.4242,-9.7369,1.0875,0.1452,2.4707,-0.7789,-10.51,28.9,-4.11,104.62,83.01,-19.88,0.0,65.2,35.17803,126.90885,,156.1362102110803,,64.51613,,0 / 20,455,2014-12-14 14:15:14:504
