sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.9104;-7.9805;4.0426;-0.5155;-9.792;-0.1511;2.2842;-0.0703;-11.3542;-0.8394;-0.5317;0.3859;31.0;-70.2;9.42;-66.36;120.4;79.28;11.6;2.0;68.623;;;;;;0 / 0;87.8;15.0;3.611;12;2014-11-21 15:47:12:504
1.7496;-10.8631;-9.827;1.176;-9.6926;-0.918;2.3668;-9.8255;-4.2044;3.8722;-0.1269;0.3604;21.0;-67.68;9.42;-53.64;257.47;81.25;-127.98;2.0;72.653;;;;;;0 / 0;87.8;15.0;3.611;518;2014-11-21 15:47:13:010
3.4997;-13.9492;6.7481;0.9565;-9.662;-1.3801;-7.0647;5.6654;6.8784;-2.6259;-0.3325;-1.1076;19.0;-70.32;3.36;-63.12;277.47;80.14;-145.28;2.0;64.178;;;;;;0 / 0;87.8;15.0;3.611;1032;2014-11-21 15:47:13:524
-2.9096;-0.7308;12.803;-0.0823;-8.9607;3.9835;-2.8273;8.2299;8.8195;0.4389;-0.1344;0.3135;25.0;-70.98;4.26;-55.86;152.76;80.7;-24.99;2.0;65.675;;;;;;0 / 0;87.8;15.0;3.611;1532;2014-11-21 15:47:14:024
2.2164;-19.5181;-4.7417;0.6604;-9.7688;0.5526;1.5561;-9.7493;-5.2943;0.3419;0.0957;-0.151;17.0;-82.98;1.8;-63.72;227.78;83.15;-99.85;2.0;61.363;;;;;;0 / 0;87.8;15.0;3.611;2037;2014-11-21 15:47:14:529
2.578;-19.5181;-13.9857;-0.2183;-8.937;4.0318;2.7963;-10.5812;-18.0176;-3.0392;-0.4071;-0.7454;33.0;-92.4;6.18;-58.74;116.16;65.69;3.1;2.0;63.277;;;;;;0 / 0;87.8;15.0;3.611;2537;2014-11-21 15:47:15:029
2.6139;-10.492;-9.59;0.6208;-9.1855;3.3781;0.7775;17.5046;-10.1165;3.7412;-0.0044;0.2496;35.0;-84.9;6.42;-53.88;130.04;69.5;-10.41;2.0;64.157;;;;;;0 / 0;87.8;15.0;3.611;3040;2014-11-21 15:47:15:532
3.8158;-2.2033;9.3027;0.6345;-9.7853;0.1306;-1.3695;4.4414;0.5831;-1.0972;0.3365;-0.1126;37.0;-88.8;4.5;-63.42;203.78;86.21;-78.37;2.0;67.467;;;;;;0 / 0;87.8;15.0;3.611;3548;2014-11-21 15:47:16:040
-5.4163;-12.3619;-8.1535;-0.4561;-7.8014;5.9246;3.6079;-11.7911;13.7888;-0.196;1.0619;0.4136;57.0;-97.2;-2.4;-61.08;122.09;54.67;-4.82;2.0;66.838;;;;;;0 / 0;87.8;15.0;3.611;4058;2014-11-21 15:47:16:550
1.4168;-19.5181;-11.6729;-1.336;-9.6515;1.1124;2.7478;-10.5257;-15.3519;1.0514;0.7839;1.0688;55.0;-95.52;4.44;-62.1;72.56;79.79;50.22;2.0;70.108;;;;;;0 / 0;87.8;15.0;3.611;4559;2014-11-21 15:47:17:051
0.3035;-7.5016;3.6955;-0.4681;-7.2666;6.5688;0.9183;-0.4619;-3.1042;-0.2024;-0.2995;0.2134;81.0;-97.86;4.8;-74.64;112.46;43.53;4.37;2.0;58.916;;;;;;0 / 0;87.8;15.0;3.611;5070;2014-11-21 15:47:17:562
-0.8673;-8.9238;4.1408;-0.725;-8.0896;5.4959;-0.0934;-0.757;-1.2327;-0.0277;0.051;0.0397;95.0;-94.32;7.56;-78.42;115.41;55.58;7.51;2.0;36.217;;;;;;0 / 0;88.2;15.0;3.611;5573;2014-11-21 15:47:18:065
