sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.1024;-8.6149;2.0554;-0.1383;-9.7431;1.1066;2.1296;-2.2019;-6.0383;-1.1643;-0.5008;0.0823;47.0;-68.58;12.54;-59.82;122.94;83.47;7.12;2.0;63.897;;;;;;0 / 0;88.3;15.0;3.609;12;2014-11-21 15:47:30:547
-0.8338;1.1797;-10.0712;-0.804;-8.5269;4.7766;4.899;-9.4746;-11.3657;3.5228;0.0691;1.5684;35.0;-67.2;1.2;-42.66;110.04;60.4;9.55;2.0;71.094;;;;;;0 / 0;88.3;15.0;3.609;525;2014-11-21 15:47:31:060
-0.9798;-10.0922;9.8653;-0.0816;-9.7541;-1.011;-10.6777;4.5012;17.3322;-3.6624;0.4302;-1.4005;25.0;-63.96;1.62;-54.06;104.74;67.06;23.65;2.0;68.663;;;;;;0 / 0;88.3;15.0;3.609;1026;2014-11-21 15:47:31:561
6.2004;-9.7019;13.5356;0.5679;-7.8545;5.8442;5.6325;-1.8474;7.6914;-0.0703;1.0151;0.2123;29.0;-69.12;5.76;-55.56;126.26;53.22;-5.55;2.0;62.561;;;;;;0 / 0;88.3;15.0;3.609;1526;2014-11-21 15:47:32:061
-2.141;-14.0617;-13.0304;0.8522;-8.5977;4.6392;-2.9932;-5.464;-17.6697;2.8794;0.3333;0.1335;19.0;-69.54;2.7;-61.14;208.98;81.62;-77.52;2.0;65.6;;;;;;0 / 0;88.3;15.0;3.609;2029;2014-11-21 15:47:32:564
-16.1615;-4.0971;9.5181;0.4811;-9.7345;1.0862;-16.6425;5.6374;8.4319;-3.2885;2.271;-0.5121;19.0;-82.44;6.42;-60.66;150.15;83.04;-23.89;2.0;63.903;;;;;;0 / 0;88.3;15.0;3.609;2539;2014-11-21 15:47:33:074
3.4734;10.4166;-19.4014;-0.004;-7.1783;6.6816;3.4774;17.5948;-26.083;-1.0994;-0.6563;-0.2543;35.0;-84.36;10.92;-55.02;111.49;44.76;-1.53;2.0;66.054;;;;;;0 / 0;88.3;15.0;3.609;3040;2014-11-21 15:47:33:575
-6.0124;-10.8799;-0.1329;-0.1399;-9.6165;1.9173;-5.8725;-1.2634;-2.0502;1.7066;-0.0875;1.1678;27.0;-81.84;6.36;-65.1;123.17;78.7;4.17;2.0;67.895;;;;;;0 / 0;88.3;15.0;3.609;3542;2014-11-21 15:47:34:077
-2.3421;-16.1615;-1.9932;-0.5243;-6.8537;6.9945;-1.8178;-9.3078;-8.9877;-0.3111;0.9895;0.7215;61.0;-94.68;-0.36;-62.46;111.05;44.34;4.29;2.0;61.116;;;;;;0 / 0;88.3;15.0;3.609;4042;2014-11-21 15:47:34:577
8.1517;-6.8624;-12.6139;-2.0834;-5.4954;7.8504;10.2351;-1.3669;-20.4643;4.8917;-0.1897;1.8326;65.0;-95.46;4.62;-63.54;98.86;34.08;14.86;2.0;67.978;;;;;;0 / 0;88.3;15.0;3.609;4542;2014-11-21 15:47:35:077
-1.1115;-8.275;4.4855;-0.3949;-6.9101;6.9472;-0.7166;-1.3648;-2.4617;-0.1971;-0.0513;0.0813;83.0;-96.3;4.8;-79.8;114.05;40.28;2.97;2.0;41.254;;;;;;0 / 0;88.3;15.0;3.609;5047;2014-11-21 15:47:35:582
