sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.736;-12.1344;-0.4585;0.0211;-9.7712;-0.8332;-2.7128;-3.3544;-18.0295;-1.2101;-0.9791;0.55;45.0;-34.5;9.78;-77.94;335.16;85.12;-178.55;2.0;62.627;;;;;;0 / 0;88.5;15.0;3.603;29;2014-11-21 15:47:57:314
4.7926;13.4883;-11.5796;0.123;-8.9721;3.9569;0.4342;8.3969;4.618;2.3159;-1.1314;1.2818;39.0;-29.28;4.26;-59.76;159.03;76.98;-5.6;2.0;66.853;;;;;;0 / 0;88.5;15.0;3.603;551;2014-11-21 15:47:57:836
-0.9391;-10.7961;2.3523;1.0454;-9.6268;-1.551;-11.782;7.5791;13.6137;0.93;-0.6521;-0.1211;27.0;-33.3;2.52;-73.2;301.57;79.0;-146.02;2.0;68.865;;;;;;0 / 0;88.7;15.0;3.606;1072;2014-11-21 15:47:58:357
-5.5121;6.4542;-19.4014;-0.0106;-8.4529;4.9719;-5.5014;14.907;-24.3733;0.2035;0.5698;0.4083;95.0;-42.0;5.46;-63.3;141.71;61.63;-0.07;2.0;60.745;;;;;;0 / 0;88.7;15.0;3.606;1572;2014-11-21 15:47:58:857
4.5819;0.0209;-10.9619;0.2035;-9.4963;2.4391;2.6594;-10.0218;-13.195;4.2461;-0.929;0.4829;93.0;-37.92;11.22;-69.42;154.35;75.55;-4.77;2.0;65.416;;;;;;0 / 0;88.7;15.0;3.606;2085;2014-11-21 15:47:59:370
3.9498;-12.2422;9.9276;0.6237;-9.7869;-0.0096;-14.3838;6.772;11.1438;-3.1638;-0.2451;-1.2152;123.0;-38.88;4.5;-70.86;146.39;69.45;2.42;2.0;64.474;;;;;;0 / 0;88.7;15.0;3.606;2586;2014-11-21 15:47:59:871
7.0192;1.2779;-4.5358;0.0168;-7.8744;5.8451;7.0024;9.1523;-10.381;-0.1992;-0.2281;0.0589;123.0;-53.04;0.3;-63.06;133.83;53.41;-0.16;2.0;66.806;;;;;;0 / 0;88.7;15.0;3.606;3088;2014-11-21 15:48:00:373
-5.6749;-19.5181;4.4831;0.2189;-9.7662;0.8633;-0.6648;5.7961;4.1801;-0.2663;-0.0044;-0.2969;163.0;-51.18;2.16;-69.0;157.63;84.79;-14.23;2.0;66.382;;;;;;0 / 0;88.7;15.0;3.606;3589;2014-11-21 15:48:00:874
-19.642;-19.5181;-19.4014;1.1033;-5.7509;7.8664;-20.7453;-13.7673;-27.2679;1.0599;0.8212;0.8515;427.0;-54.48;2.88;-67.56;133.28;35.9;-7.98;2.0;63.625;;;;;;0 / 0;88.7;15.0;3.606;4091;2014-11-21 15:48:01:376
1.7951;-9.2494;3.4728;-0.7646;-7.9761;5.6541;2.6579;-1.3235;-2.8349;-0.0703;0.1831;-0.3917;409.0;-55.98;-7.2;-88.8;135.95;54.42;7.7;2.0;45.281;;;;;;0 / 0;88.7;15.0;3.606;4591;2014-11-21 15:48:01:876
-0.2472;-9.5295;2.7066;-0.3108;-8.8608;4.1906;0.0636;-0.6687;-1.484;-0.0756;0.0361;-0.0636;287.0;-49.98;-1.62;-87.3;140.52;62.83;6.69;2.0;40.37;;;;;;0 / 0;88.7;15.0;3.606;5097;2014-11-21 15:48:02:382
