sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.384;-10.3292;-0.6165;0.6907;-9.7697;-0.4969;0.7845;-1.1431;0.0326;-1.0812;-0.487;0.3497;61.0;-34.38;9.3;-81.66;283.65;85.02;-125.73;0.0;60.315;;;;;;0 / 0;89.1;14.0;3.601;8;2014-11-21 15:49:57:575
0.6219;9.4445;-13.7918;-0.1122;-9.266;3.2094;0.9334;-1.1926;-10.5319;1.9462;-0.0928;1.6387;55.0;-32.34;10.2;-66.9;289.99;84.63;-133.05;0.0;66.061;;;;;;0 / 0;89.1;14.0;3.601;519;2014-11-21 15:49:58:086
-3.0269;-5.4306;7.3586;0.7476;-9.6833;-1.3587;-3.7745;4.2527;8.7173;-2.7441;0.6582;-0.8253;33.0;-28.74;2.76;-66.18;307.41;80.9;-151.18;0.0;67.46;;;;;;0 / 0;89.1;14.0;3.601;1025;2014-11-21 15:49:58:592
12.2457;-12.0937;-19.4014;-1.0229;-8.6432;4.5189;13.2687;-3.4505;-23.9203;-0.2876;1.0641;1.0997;75.0;-33.36;7.74;-58.62;146.03;60.27;-0.85;0.0;59.255;;;;;;0 / 0;89.1;14.0;3.601;1526;2014-11-21 15:49:59:093
2.2332;-19.5181;-11.74;-0.5056;-9.7499;0.9237;2.7388;-9.7682;-12.6637;1.7342;1.0939;0.7556;75.0;-39.78;8.34;-68.4;120.15;83.84;28.7;0.0;63.726;;;;;;0 / 0;89.1;14.0;3.601;2030;2014-11-21 15:49:59:597
2.9251;-11.8926;7.4136;0.0783;-9.7541;1.0111;-10.135;2.9767;12.9986;-2.3074;0.8105;-0.3129;61.0;-40.26;14.28;-63.66;151.77;84.06;-4.43;0.0;63.657;;;;;;0 / 0;89.1;14.0;3.601;2530;2014-11-21 15:50:00:097
-0.319;-6.2519;15.6138;0.7141;-8.2485;5.2559;-1.0331;1.9966;10.3579;-0.3356;-0.5988;-0.0615;83.0;-35.7;10.62;-60.48;150.17;57.26;-7.74;0.0;58.58;;;;;;0 / 0;89.1;14.0;3.601;3032;2014-11-21 15:50:00:599
4.1055;-19.5181;-8.0337;0.8571;-9.2319;3.1952;3.2483;-10.2862;-11.229;2.6962;-0.0662;0.7204;103.0;-44.7;0.78;-69.42;209.71;80.17;-62.4;0.0;66.648;;;;;;0 / 0;89.1;14.0;3.601;3538;2014-11-21 15:50:01:105
-3.8026;-3.3812;0.3915;1.5769;-9.0369;3.4667;2.9212;-2.4104;-0.4512;-2.6333;2.4777;-0.2479;329.0;-53.76;-2.4;-65.52;136.67;57.36;-0.29;0.0;62.955;;;;;;0 / 0;89.1;14.0;3.601;4041;2014-11-21 15:50:01:608
4.4047;-4.9422;-1.4377;2.2594;-5.688;7.6623;2.9372;6.5947;-13.6419;1.3721;-2.0497;0.2251;231.0;-42.0;7.74;-63.0;130.86;35.88;-4.27;0.0;67.168;;;;;;0 / 0;89.1;14.0;3.601;4551;2014-11-21 15:50:02:118
-0.5201;-9.2494;2.4768;0.7814;-8.1482;5.4006;-1.6047;-1.3765;-2.796;-0.1364;-0.0971;0.0312;675.0;-41.04;0.0;-85.86;159.32;53.62;-8.58;0.0;50.636;;;;;;0 / 0;89.1;14.0;3.601;5079;2014-11-21 15:50:02:646
0.8757;-8.7442;2.7306;1.4896;-8.8687;3.9111;-0.558;0.1576;-1.1262;0.0724;-0.9173;-0.3044;783.0;-41.58;-0.18;-84.66;160.53;64.15;-8.38;0.0;68.828;;;;;;0 / 0;89.1;14.0;3.601;5595;2014-11-21 15:50:03:162
