ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0593,-9.4058,0.7648,0.2257,-9.7914,0.4981,-0.112,-0.2076,0.0905,10.87,34.9,-27.99,231.23,86.7,-26.74,0.0,72.212,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3,2014-12-14 14:15:32:039
-0.155,-9.5974,0.6882,0.1645,-9.7904,0.54,-0.416,0.116,0.2811,11.24,34.9,-28.42,228.67,86.8,-24.38,0.0,72.212,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,53,2014-12-14 14:15:32:089
0.0174,-9.7124,0.6116,0.269,-9.7873,0.5536,-0.3573,0.0353,0.0092,13.8,33.78,-26.24,228.12,86.7,-16.94,0.0,55.934,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,103,2014-12-14 14:15:32:139
0.1898,-9.8656,0.4966,0.2252,-9.7885,0.5518,-0.1368,-0.2198,-0.1799,14.18,35.96,-24.11,236.26,86.52,-22.2,0.0,55.934,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,153,2014-12-14 14:15:32:189
0.4197,-9.9231,0.6882,0.2085,-9.7896,0.5383,-0.0632,-0.1743,-0.0066,15.3,36.4,-24.3,236.26,86.52,-22.2,0.0,55.934,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,203,2014-12-14 14:15:32:239
0.6879,-10.153,1.2055,0.2214,-9.7888,0.549,0.1786,-0.1786,0.0873,15.68,37.46,-24.11,240.6,86.54,-21.96,0.0,55.934,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,253,2014-12-14 14:15:32:289
0.937,-10.517,1.991,0.2513,-9.7865,0.5752,0.3496,-0.3525,0.5383,15.68,37.09,-24.24,241.49,86.33,-23.6,0.0,55.934,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,303,2014-12-14 14:15:32:339
1.2244,-10.881,1.7994,0.3172,-9.7727,0.7508,0.332,-0.7156,1.4554,15.3,35.28,-27.93,235.51,85.23,-22.9,0.0,55.934,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,353,2014-12-14 14:15:32:389
1.2818,-10.6128,-0.2889,0.3771,-9.7509,0.9738,0.7258,-0.814,0.8205,13.43,33.78,-23.55,235.51,85.23,-22.9,0.0,63.784,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,403,2014-12-14 14:15:32:439
-1.8985,-10.2488,-1.0169,0.4862,-9.7727,0.6548,-0.5303,-0.1937,-1.8597,13.43,34.53,-27.8,242.17,83.88,-28.38,0.0,63.784,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,453,2014-12-14 14:15:32:489
-0.4807,-10.2488,0.4008,0.1801,-9.7942,0.4592,-0.7529,-0.1235,-0.2707,13.05,33.03,-26.61,242.33,86.18,-32.84,0.0,63.784,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,503,2014-12-14 14:15:32:539
-0.4807,-9.31,0.1326,0.0305,-9.7962,0.4522,-1.1698,0.4341,-0.0976,13.05,30.46,-29.3,242.33,86.18,-32.84,0.0,63.784,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,553,2014-12-14 14:15:32:589
-0.2317,-8.6203,0.1134,-0.0555,-9.7982,0.4044,-0.1756,1.1967,-0.3053,13.05,30.09,-30.86,206.86,87.35,-3.85,0.0,63.784,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,603,2014-12-14 14:15:32:639
-0.0593,-8.218,0.8606,-0.0578,-9.7981,0.4042,0.0707,1.3998,0.0949,11.62,28.96,-31.05,193.86,87.61,7.81,0.0,63.784,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,653,2014-12-14 14:15:32:689
0.1132,-8.5054,2.6423,-0.0406,-9.7844,0.6591,0.0137,1.2118,1.1634,12.68,29.71,-30.49,196.67,87.37,7.47,0.0,63.784,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,703,2014-12-14 14:15:32:739
0.458,-8.3521,3.2937,-0.0261,-9.7739,0.8005,0.1987,0.8781,1.8527,13.8,29.71,-30.86,196.67,87.37,7.47,0.0,62.269,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,753,2014-12-14 14:15:32:789
1.5883,-8.946,2.7573,0.2656,-9.6982,1.4296,2.0821,-0.2845,3.314,14.18,28.21,-30.67,202.5,85.32,1.87,0.0,62.269,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,803,2014-12-14 14:15:32:839
0.209,-7.4134,1.876,0.4199,-9.6615,1.6276,0.6203,1.0567,0.7089,11.99,26.78,-30.92,221.36,80.13,-14.46,0.0,62.269,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,853,2014-12-14 14:15:32:889
0.3239,-8.0647,1.9526,0.3672,-9.6378,1.7744,-0.1037,1.0504,0.2883,12.3,28.59,-28.49,223.15,79.71,-12.76,0.0,62.269,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,903,2014-12-14 14:15:32:939
0.822,-9.7124,3.332,0.392,-9.6245,1.8401,0.2475,0.2372,0.3897,11.99,29.71,-26.74,223.15,79.71,-12.76,0.0,62.269,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,953,2014-12-14 14:15:32:989
-0.0018,-9.9806,2.604,0.3665,-9.5869,2.0317,-0.9922,-1.2461,0.4334,13.05,29.34,-25.74,225.04,78.94,-12.03,0.0,62.269,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1003,2014-12-14 14:15:33:039
3.1976,-15.1533,8.3898,-0.0542,-9.5315,2.3063,-0.9928,-6.2631,5.6462,12.3,30.84,-24.05,227.98,77.85,-10.22,0.0,62.269,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1053,2014-12-14 14:15:33:089
1.1477,-10.0189,2.7764,0.1692,-9.4672,2.5524,3.268,-4.4223,4.9339,12.68,29.71,-23.05,227.98,77.85,-10.22,0.0,66.748,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1103,2014-12-14 14:15:33:139
0.4772,-9.7124,-3.3542,-0.6392,-9.6871,1.3864,-1.6203,1.4223,-3.1642,12.3,32.34,-22.49,224.08,74.88,-3.79,0.0,66.748,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1153,2014-12-14 14:15:33:189
1.55,-10.5553,-3.0477,-0.5721,-9.7328,1.0558,0.9116,-0.5474,-4.4791,11.24,32.71,-19.42,187.05,81.04,24.75,0.0,66.748,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1203,2014-12-14 14:15:33:239
-1.2088,-8.9652,-3.4117,-0.2289,-9.804,-0.0048,-0.4267,0.7062,-3.6369,12.3,34.15,-17.92,181.65,86.49,32.2,0.0,66.748,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1253,2014-12-14 14:15:33:289
-0.5382,-10.0764,-1.0361,-0.2718,-9.8013,-0.1762,-0.5845,-0.1483,-2.3148,12.3,33.4,-17.61,181.65,86.49,32.2,0.0,66.748,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1303,2014-12-14 14:15:33:339
0.8987,-9.5782,-1.9557,-0.4256,-9.7811,-0.5653,0.6189,-0.1166,-1.5474,13.05,35.65,-15.24,95.03,88.11,122.96,0.0,66.748,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1353,2014-12-14 14:15:33:389
0.2281,-9.4825,-1.7832,-0.3356,-9.7783,-0.6652,1.2153,-0.1023,-1.3647,14.18,37.46,-14.49,74.53,85.86,143.02,0.0,67.354,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1403,2014-12-14 14:15:33:439
-0.9214,-8.8694,-1.3809,-0.2299,-9.768,-0.8393,-0.4537,-0.0324,-0.3599,14.93,37.84,-12.3,59.67,85.15,163.43,0.0,67.354,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1453,2014-12-14 14:15:33:489
-1.3429,-10.1147,-1.4384,-0.229,-9.7622,-0.904,0.4253,0.4438,-0.2689,14.18,36.03,-12.3,59.67,85.15,163.43,0.0,67.354,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1503,2014-12-14 14:15:33:539
-3.9292,-8.9077,-1.9173,-0.5521,-9.7387,-1.0114,-3.0785,0.117,-0.9401,14.18,37.09,-12.8,52.98,84.54,165.79,0.0,67.354,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1554,2014-12-14 14:15:33:590
0.1323,-10.2679,-1.5533,-0.7785,-9.7108,-1.1557,0.7443,-1.4181,-0.1891,14.93,36.71,-10.11,52.98,84.54,165.79,0.0,67.354,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1603,2014-12-14 14:15:33:639
2.7953,-13.3716,-0.8636,-0.3931,-9.7272,-1.1822,2.0976,-2.2267,-0.4329,14.93,35.96,-11.05,68.4,82.29,151.45,0.0,67.354,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1653,2014-12-14 14:15:33:689
4.3088,-14.387,-0.2506,-0.1548,-9.741,-1.1221,3.3269,-3.4931,0.4724,15.68,36.03,-10.99,68.4,82.29,151.45,0.0,67.354,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1703,2014-12-14 14:15:33:739
0.0557,-11.724,1.3204,0.5776,-9.7879,-0.1821,-0.6063,-2.0773,3.6526,14.18,35.28,-11.86,38.88,84.01,-170.17,0.0,67.354,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1753,2014-12-14 14:15:33:789
-2.1092,-12.816,-3.929,0.5169,-9.7895,-0.2625,-0.6988,-0.3533,-2.0861,11.99,35.65,-16.11,336.22,86.61,-116.92,0.0,67.086,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1803,2014-12-14 14:15:33:839
-2.6839,-15.0767,-2.5304,-0.004,-9.7887,-0.5936,-5.0269,-2.9554,-2.4214,10.12,36.03,-17.86,336.22,86.61,-116.92,0.0,67.086,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1853,2014-12-14 14:15:33:889
-1.5345,-14.3103,-4.2547,-0.1937,-9.7756,-0.7548,-0.919,-3.0633,-1.5055,8.3,35.28,-25.3,29.25,85.44,165.61,0.0,67.086,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1903,2014-12-14 14:15:33:939
-1.4578,-8.8885,-4.2355,-0.389,-9.7184,-1.2536,-0.929,2.0716,-2.728,6.8,34.53,-28.36,29.25,85.44,165.61,0.0,67.086,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,1953,2014-12-14 14:15:33:989
-3.6419,-5.3826,-3.3159,-0.5924,-9.663,-1.5637,-1.9095,4.2504,-1.8483,7.18,33.78,-32.36,26.25,82.31,162.76,0.0,67.086,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2004,2014-12-14 14:15:34:040
-4.8488,-3.1411,-4.1014,-1.4973,-9.4275,-2.2473,-3.3296,6.8487,-1.9542,7.93,31.59,-31.49,35.68,77.81,152.28,0.0,67.086,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2053,2014-12-14 14:15:34:089
-3.5078,-2.2981,-2.6645,-1.7691,-9.328,-2.4554,-2.9137,6.6985,-1.6085,8.3,30.84,-33.11,35.68,77.81,152.28,0.0,69.943,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2103,2014-12-14 14:15:34:139
5.9564,-16.6285,16.7237,-2.2032,-9.3608,-1.9217,1.3316,-3.5526,8.087,9.37,35.28,-25.99,39.82,72.02,144.23,0.0,69.943,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2153,2014-12-14 14:15:34:189
13.0642,-20.7475,22.931,-1.3266,-9.7111,-0.3247,10.3825,-9.1604,19.9404,9.74,33.4,-25.74,54.08,72.66,131.1,0.0,69.943,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2203,2014-12-14 14:15:34:239
-2.8181,-7.2409,-4.2738,-0.0941,-9.6334,1.8328,-0.427,1.8812,-1.0011,10.12,35.28,-26.86,202.82,79.21,2.94,0.0,69.943,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2253,2014-12-14 14:15:34:289
-10.4431,-17.0691,4.0984,-0.8585,-9.6978,1.1773,-10.7116,2.1852,-9.7999,8.62,36.71,-25.61,202.82,79.21,2.94,0.0,69.943,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2303,2014-12-14 14:15:34:339
-11.6117,-0.4972,-12.0521,-1.4908,-9.6909,-0.1843,-7.9029,8.4912,-11.9073,9.37,38.21,-20.74,151.43,81.03,42.8,0.0,69.943,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2353,2014-12-14 14:15:34:389
2.9486,-12.0113,-2.1472,-1.8249,-9.6134,-0.6498,-4.0485,5.2984,-6.4647,10.12,38.59,-19.86,93.83,81.19,97.05,0.0,69.943,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2403,2014-12-14 14:15:34:439
0.2473,-8.9652,-3.6991,-0.9394,-9.7035,-1.0627,0.7905,0.5441,-1.8222,11.62,41.15,-17.86,75.87,82.03,123.05,0.0,68.247,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2453,2014-12-14 14:15:34:489
-2.6265,-8.9077,-1.2851,-0.9154,-9.7032,-1.0868,0.3745,0.3309,-0.3092,11.99,40.78,-15.24,75.87,82.03,123.05,0.0,68.247,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2503,2014-12-14 14:15:34:539
-0.5191,-8.9077,-1.4575,-1.0496,-9.6771,-1.193,0.7936,0.8862,-1.1599,14.18,42.65,-12.17,64.37,81.67,139.89,0.0,68.247,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2553,2014-12-14 14:15:34:589
1.0519,-9.31,-3.2393,-0.933,-9.671,-1.3308,1.6706,0.5043,-1.8684,13.43,43.4,-11.3,68.69,80.68,138.66,0.0,68.247,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2603,2014-12-14 14:15:34:639
-2.4349,-9.5016,-0.8445,-0.6906,-9.6813,-1.4019,3.2892,-0.4912,0.0355,15.3,43.4,-9.61,68.69,80.68,138.66,0.0,68.247,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2653,2014-12-14 14:15:34:689
-2.569,-9.1759,-0.2314,-0.6055,-9.7025,-1.2905,-2.0388,0.3685,0.6045,14.93,43.78,-8.99,64.9,81.64,154.86,0.0,68.247,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2703,2014-12-14 14:15:34:739
-0.155,-9.8848,-0.8445,-0.7276,-9.7097,-1.1674,-0.0116,-0.5739,0.265,17.49,44.15,-6.55,73.27,81.64,154.86,0.0,68.247,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2753,2014-12-14 14:15:34:789
0.5155,-11.2642,-1.2276,-0.4951,-9.7305,-1.1151,1.3477,-1.5266,0.1685,18.62,44.53,-8.99,73.27,81.64,154.86,0.0,68.247,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2803,2014-12-14 14:15:34:839
3.8873,-14.2337,1.2438,-0.3073,-9.7467,-1.0383,1.5378,-2.7974,0.6455,20.43,46.34,-8.74,75.11,82.85,156.06,0.0,68.688,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2853,2014-12-14 14:15:34:889
2.393,-12.2604,1.3204,0.6856,-9.7783,-0.2915,5.438,-3.7252,5.5291,18.99,47.84,-13.49,350.18,85.64,-113.04,0.0,68.688,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2903,2014-12-14 14:15:34:939
-4.9446,-15.1916,-2.9902,0.6842,-9.7743,-0.4059,1.4923,-0.8723,0.5395,17.12,48.15,-18.74,350.18,85.64,-113.04,0.0,68.688,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,2953,2014-12-14 14:15:34:989
-2.5115,-16.6668,-1.4192,0.3606,-9.7857,-0.5293,-5.1689,-3.7759,-2.2153,14.55,48.15,-20.49,340.47,85.35,-120.67,0.0,68.688,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3003,2014-12-14 14:15:35:039
-2.7414,-13.3333,-3.6224,-0.1573,-9.774,-0.7838,-2.692,-1.6421,-2.369,8.3,44.46,-28.36,14.98,86.16,179.5,0.0,68.688,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3053,2014-12-14 14:15:35:089
-2.0517,-8.6586,-4.1589,-0.3892,-9.7374,-1.0961,-1.8049,1.9983,-2.6712,7.55,40.78,-31.36,14.98,86.16,179.5,0.0,68.688,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3103,2014-12-14 14:15:35:139
-4.2741,-4.9994,-3.5458,-1.0311,-9.5944,-1.748,-3.1653,6.6838,-1.8472,7.18,36.03,-34.86,28.0,83.19,160.45,0.0,69.52,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3153,2014-12-14 14:15:35:189
-4.4848,-2.6813,-4.4845,-1.2763,-9.5234,-1.961,-3.0546,7.1638,-2.1138,7.93,35.65,-34.74,36.81,78.06,149.46,0.0,69.52,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3203,2014-12-14 14:15:35:239
-4.504,-1.3019,-5.749,-1.8038,-9.3098,-2.4988,-2.7277,7.4451,-2.6952,8.3,35.65,-34.11,36.81,78.06,149.46,0.0,69.52,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3253,2014-12-14 14:15:35:289
-5.1745,-4.6162,-0.7678,-2.2997,-9.0579,-2.9724,-1.9963,6.006,-0.3043,8.62,36.71,-34.42,39.67,71.68,144.17,0.0,69.52,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3303,2014-12-14 14:15:35:339
1.2818,-15.4598,12.528,0.1257,-9.6439,1.7748,10.9361,-11.4586,22.0885,12.68,40.03,-31.05,54.55,72.09,131.61,0.0,69.52,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3353,2014-12-14 14:15:35:389
-16.4779,-15.1916,-2.6837,0.1027,-9.5625,2.1722,0.4841,3.5218,0.5379,10.49,37.09,-32.17,54.55,72.09,131.61,0.0,69.52,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3403,2014-12-14 14:15:35:439
10.9951,-18.7934,-6.6303,-1.0962,-9.7007,0.9299,-14.0733,-0.5806,-10.024,10.12,38.21,-34.86,204.79,77.19,-2.71,0.0,69.52,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3453,2014-12-14 14:15:35:489
-7.6268,-3.2368,-7.1667,-1.1336,-9.7403,0.109,-4.9284,8.7699,-13.1646,11.62,39.34,-31.36,158.24,83.0,39.73,0.0,69.52,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3503,2014-12-14 14:15:35:539
3.5042,-14.1571,-0.4038,-1.5421,-9.6414,-0.9146,5.2548,-3.833,-0.2568,12.3,40.78,-27.49,158.24,83.0,39.73,0.0,65.424,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3553,2014-12-14 14:15:35:589
-0.7106,-9.2525,-1.9173,-1.1517,-9.6682,-1.1704,1.8113,0.8246,-2.6628,12.68,41.15,-23.55,72.61,79.47,120.67,0.0,65.424,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3603,2014-12-14 14:15:35:639
-2.1092,-8.6395,-1.6108,-1.1324,-9.6579,-1.2702,-0.0937,1.4999,-0.331,13.8,43.03,-25.74,72.61,79.47,120.67,0.0,65.424,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3653,2014-12-14 14:15:35:689
1.0711,-9.6357,-2.4346,-1.1051,-9.6543,-1.3201,1.204,0.3403,-0.5084,12.3,43.03,-22.24,56.25,80.01,138.28,0.0,65.424,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3703,2014-12-14 14:15:35:739
2.393,-9.5591,-0.9977,-0.8718,-9.6561,-1.473,2.0963,0.1486,-0.8322,13.8,45.21,-21.86,57.79,79.89,140.07,0.0,65.424,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3753,2014-12-14 14:15:35:789
-1.4195,-9.4058,-0.9211,-0.5624,-9.6992,-1.3343,-0.5078,0.1947,0.559,14.18,43.4,-18.55,57.79,79.89,140.07,0.0,65.424,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3803,2014-12-14 14:15:35:839
-1.9559,-10.2105,-0.2314,-0.7172,-9.7041,-1.2195,-1.0768,-0.7712,0.7776,15.68,44.46,-17.42,52.13,81.51,157.15,0.0,65.424,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3854,2014-12-14 14:15:35:890
3.485,-11.7431,-0.7104,-0.6161,-9.7283,-1.0724,2.9925,-0.9208,0.205,16.37,41.9,-17.86,60.59,82.75,150.12,0.0,69.871,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3904,2014-12-14 14:15:35:940
1.6075,-14.2337,0.8606,-0.2169,-9.7538,-0.9931,1.8366,-1.189,0.2797,15.68,42.65,-18.74,60.59,82.75,150.12,0.0,69.871,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,3953,2014-12-14 14:15:35:989
6.5887,-15.5748,3.8685,0.413,-9.7854,-0.4957,5.849,-4.6156,3.8021,13.05,40.09,-19.86,40.76,84.05,167.68,0.0,69.871,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4003,2014-12-14 14:15:36:039
2.5654,-12.3179,0.9181,0.7681,-9.7756,0.1313,1.7519,-2.0599,4.1351,11.62,37.46,-20.05,351.98,86.23,-140.2,0.0,69.871,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4053,2014-12-14 14:15:36:089
-4.7914,-15.6514,-3.8523,0.5274,-9.7837,-0.4152,-4.2768,-2.6992,-3.877,8.99,32.65,-23.99,308.25,85.21,-102.93,0.0,69.871,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4104,2014-12-14 14:15:36:140
-2.2433,-15.479,-1.7641,0.0252,-9.7886,-0.5942,-3.3959,-4.4504,-1.4804,7.18,30.09,-24.3,326.98,86.08,-128.21,0.0,69.871,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4153,2014-12-14 14:15:36:189
-2.1667,-10.5745,-4.2738,-0.3701,-9.7557,-0.9271,-1.8475,1.1348,-2.8327,5.3,28.28,-25.74,326.98,86.08,-128.21,0.0,68.288,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4204,2014-12-14 14:15:36:240
-2.6456,-6.2639,-4.0631,-0.5609,-9.7087,-1.2634,-1.4224,4.2324,-2.5455,5.3,27.15,-27.05,30.62,81.9,156.06,0.0,68.288,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4253,2014-12-14 14:15:36:289
-4.1783,-3.256,-4.293,-1.0832,-9.5754,-1.8189,-2.8443,6.6027,-2.0945,5.3,24.53,-25.74,30.62,81.9,156.06,0.0,68.288,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4303,2014-12-14 14:15:36:339
-4.1017,-2.3364,-5.2126,-1.5628,-9.4038,-2.3015,-2.6604,6.9714,-2.4237,5.3,25.28,-23.8,35.74,77.53,149.23,0.0,68.288,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4353,2014-12-14 14:15:36:389
-3.3353,-11.4557,4.175,-2.1984,-9.0357,-3.1135,-1.5238,5.9754,-1.4906,5.68,26.03,-20.86,35.74,77.53,149.23,0.0,68.288,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4403,2014-12-14 14:15:36:439
1.5692,-14.5594,11.2827,-2.3897,-9.0849,-2.815,4.2118,-7.9501,13.1827,6.05,26.03,-20.49,36.8,67.13,144.77,0.0,68.288,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4453,2014-12-14 14:15:36:489
-2.0134,-11.3408,7.8726,0.1892,-9.6258,1.8652,8.1485,-8.0308,17.1158,6.8,26.78,-19.17,42.28,67.88,139.67,0.0,68.288,35.17804,126.90893,,154.8402269413939,,70.741936,,0 / 20,4503,2014-12-14 14:15:36:539
