sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0712;-8.6508;4.7106;-0.0736;-9.4022;2.7867;0.1448;0.7513;1.9239;-0.4368;-0.1621;0.2219;75.0;-60.48;0.0;-73.26;137.87;73.49;1.51;2.0;65.549;;;;;;0 / 0;82.9;21.0;3.614;14;2014-11-21 15:14:34:948
-2.876;-11.1648;-2.8335;-0.5625;-9.5979;-1.9327;1.194;-0.9013;0.8446;-1.1803;1.3474;0.0493;43.0;-58.08;1.74;-69.6;336.24;78.16;163.77;2.0;68.174;;;;;;0 / 0;82.9;21.0;3.614;521;2014-11-21 15:14:35:455
0.8398;-5.299;-3.5973;0.0615;-8.9429;4.0239;1.4558;5.6144;-7.9492;1.1196;-1.1836;0.1068;85.0;-57.9;3.12;-58.92;127.93;76.22;6.34;2.0;62.833;;;;;;0 / 0;82.9;21.0;3.614;1021;2014-11-21 15:14:35:955
0.1215;-9.2901;-1.1073;-0.0684;-9.7218;1.286;0.5772;0.0962;-1.0608;-1.3646;-0.1461;0.0557;131.0;-48.6;12.54;-75.48;142.9;82.45;3.04;2.0;53.242;;;;;;0 / 0;82.9;21.0;3.614;1521;2014-11-21 15:14:36:455
-1.0493;-14.1264;-1.3994;-0.1793;-9.7049;1.3979;-3.884;-1.0136;-3.956;2.5492;0.2396;0.6224;41.0;-42.48;20.94;-73.86;323.99;81.67;-172.64;2.0;66.857;;;;;;0 / 0;82.9;21.0;3.614;2035;2014-11-21 15:14:36:969
0.6051;-6.0029;0.8751;0.5342;-8.8439;4.2038;2.7213;-0.3959;-1.8251;0.1023;-1.0675;0.3881;65.0;-58.26;21.54;-90.48;149.24;64.4;-7.24;2.0;57.464;;;;;;0 / 0;83.3;21.0;3.614;2535;2014-11-21 15:14:37:469
-2.2966;-11.2055;0.6285;-0.4055;-9.6685;-1.5897;-0.129;-0.2081;-1.0092;-0.9183;0.7615;-0.102;83.0;-71.34;19.38;-105.78;340.72;80.37;165.69;2.0;60.623;;;;;;0 / 0;83.3;21.0;3.614;3035;2014-11-21 15:14:37:969
4.0049;-4.8896;-1.646;0.2071;-8.6305;4.6521;3.7978;3.7409;-6.2981;1.844;-2.0369;0.7907;61.0;-59.52;31.5;-84.72;136.9;70.11;1.91;2.0;63.733;;;;;;0 / 0;83.3;21.0;3.614;3538;2014-11-21 15:14:38:472
-2.8282;-10.0969;1.4138;-0.4042;-9.7981;-0.0663;-0.4248;0.769;-0.7346;-1.3348;2.0335;0.3689;21.0;-72.66;12.72;-111.72;153.29;67.07;-8.51;2.0;58.733;;;;;;0 / 0;83.3;21.0;3.614;4051;2014-11-21 15:14:38:985
-1.552;-10.4321;-2.9054;-0.4583;-9.0206;3.8198;-2.7288;-3.6384;-3.0487;2.8368;-0.9919;0.0152;21.0;-71.22;14.58;-94.14;119.66;80.36;21.85;2.0;68.504;;;;;;0 / 0;83.3;21.0;3.614;4567;2014-11-21 15:14:39:501
