sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3166;-8.6724;2.97;-0.6152;-9.4968;2.3674;0.5746;0.7676;0.1348;-0.1278;-0.1418;0.0323;131.0;-41.58;28.98;-35.22;107.24;75.56;14.57;2.0;51.672;;;;;;0 / 0;83.3;21.0;3.614;7;2014-11-21 15:14:47:563
-0.0102;-9.7115;-2.9604;-0.3953;-9.5645;-2.1295;0.3852;-0.1469;-0.8309;-1.3241;1.0555;-0.2777;79.0;-41.16;25.38;-28.98;319.24;77.24;169.48;2.0;65.156;;;;;;0 / 0;83.3;21.0;3.614;513;2014-11-21 15:14:48:069
0.6315;-4.9781;0.0204;-0.2327;-9.0143;3.8548;0.8642;4.0362;-3.8345;2.056;-0.8513;0.3806;161.0;-50.28;11.58;-9.96;90.31;76.72;7.81;2.0;68.205;;;;;;0 / 0;83.3;21.0;3.614;1016;2014-11-21 15:14:48:572
3.4159;-9.4649;-0.073;-0.0952;-9.7896;0.5703;3.5111;0.3247;-0.6433;-1.7737;-0.2036;0.045;241.0;-41.94;35.76;-49.86;129.0;86.62;9.47;2.0;63.505;;;;;;0 / 0;83.3;21.0;3.614;1516;2014-11-21 15:14:49:072
-4.4562;-13.1448;-6.9779;0.1064;-9.8053;-0.1335;-4.5626;-3.3395;-6.8444;2.3915;0.9756;0.0962;61.0;-40.74;21.06;-40.8;276.8;89.0;-141.44;2.0;64.662;;;;;;0 / 0;83.3;21.0;3.614;2016;2014-11-21 15:14:49:572
0.7009;-10.6309;-0.5734;0.2643;-9.0591;3.7462;0.4366;-1.5718;-4.3196;-0.4187;0.0414;0.2634;417.0;-45.48;15.36;-37.92;127.33;67.48;-4.04;2.0;62.565;;;;;;0 / 0;83.3;21.0;3.614;2517;2014-11-21 15:14:50:073
5.4103;-13.863;5.6395;-0.5873;-9.5461;-2.1678;2.885;-0.3054;-0.4926;0.4826;0.2758;0.1782;121.0;-38.22;17.7;-27.66;323.8;76.76;164.84;2.0;64.411;;;;;;0 / 0;83.3;21.0;3.614;3037;2014-11-21 15:14:50:593
0.8757;-11.4928;7.8159;0.2713;-9.1008;3.6432;1.5024;0.9875;-1.434;0.4325;-1.2859;0.3998;491.0;-55.02;31.44;-47.58;125.56;68.13;-4.26;2.0;58.986;;;;;;0 / 0;83.3;21.0;3.614;3541;2014-11-21 15:14:51:097
-1.7005;-8.3157;-1.7442;-0.3505;-9.5554;-2.1781;1.9166;-1.8589;2.091;-1.0376;0.1533;0.1271;331.0;-51.3;26.94;-28.92;309.52;83.09;172.36;2.0;57.726;;;;;;0 / 0;83.3;21.0;3.614;4044;2014-11-21 15:14:51:600
1.2204;-4.6262;-3.231;-0.271;-8.9832;3.9242;1.0259;2.4696;-6.6355;2.0773;-1.6034;0.4498;419.0;-60.12;25.98;-50.4;99.66;78.28;15.8;2.0;66.841;;;;;;0 / 0;83.3;21.0;3.614;4546;2014-11-21 15:14:52:102
