sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0329;-8.5431;4.5957;0.1362;-8.8933;4.1307;-0.1032;0.3502;0.4649;-0.0554;0.0478;-0.0444;75.0;-67.92;-14.22;-76.68;139.74;64.86;-1.74;2.0;56.499;;;;;;0 / 0;79.2;22.0;3.655;4;2014-11-21 15:11:21:047
0.428;-9.4433;1.4545;-0.3508;-9.4997;2.4092;0.7787;0.0564;-0.9547;-0.7073;0.2811;0.1771;101.0;-66.3;-13.44;-75.72;131.25;75.63;8.28;2.0;52.181;;;;;;0 / 0;79.2;22.0;3.655;505;2014-11-21 15:11:21:548
-4.3844;-14.2868;0.7721;-0.4284;-9.7047;-1.3445;-0.3192;-3.677;4.4318;-0.9492;0.9139;-0.2628;33.0;-66.66;-10.08;-65.88;331.57;81.73;162.33;2.0;63.767;;;;;;0 / 0;79.5;21.0;3.656;1006;2014-11-21 15:11:22:049
0.4663;-7.9015;0.1281;-0.0865;-9.3462;2.9685;0.5528;1.4448;-2.8404;0.8703;-0.6915;0.2389;69.0;-63.42;-4.92;-60.0;127.11;81.54;6.58;2.0;62.664;;;;;;0 / 0;79.5;21.0;3.656;1507;2014-11-21 15:11:22:550
0.167;-9.8456;-0.0299;-0.3292;-9.7472;1.0274;0.4962;-0.0983;-1.0573;-0.9385;0.4526;0.3529;107.0;-58.44;3.3;-76.92;145.24;73.74;-3.61;2.0;64.062;;;;;;0 / 0;79.5;21.0;3.656;2008;2014-11-21 15:11:23:051
-1.0564;-10.4202;-0.4417;-0.2482;-9.4857;-2.4765;-0.8082;-0.9345;2.0348;-0.4794;0.8649;-0.3044;53.0;-48.42;13.5;-71.4;332.0;75.3;174.28;2.0;61.916;;;;;;0 / 0;79.5;21.0;3.656;2508;2014-11-21 15:11:23:551
0.8924;-7.1736;1.0331;0.1043;-9.2706;3.1964;0.7881;2.097;-2.1633;0.4485;-0.9099;0.3454;177.0;-46.38;19.26;-65.76;142.73;70.97;-1.87;2.0;58.714;;;;;;0 / 0;79.5;21.0;3.656;3020;2014-11-21 15:11:24:063
-0.829;-9.4649;0.7338;-0.9572;-9.7555;-0.2951;0.1282;0.2906;1.0289;-1.5425;0.6795;0.191;63.0;-63.9;16.98;-101.94;40.37;84.14;107.13;2.0;64.702;;;;;;0 / 0;79.5;21.0;3.656;3530;2014-11-21 15:11:24:573
-1.6263;-10.808;-1.8256;0.1989;-9.6765;-1.5803;-1.8251;-1.1316;-0.2453;1.5713;-0.39;-0.0327;71.0;-65.16;26.88;-94.98;333.65;76.69;172.73;2.0;62.965;;;;;;0 / 0;79.5;21.0;3.656;4031;2014-11-21 15:11:25:074
1.6777;-9.0842;3.5781;0.3528;-9.2377;3.273;1.3249;0.1535;0.3051;-0.1246;-0.9163;0.3028;147.0;-63.72;26.94;-91.26;139.82;72.77;1.06;2.0;56.126;;;;;;0 / 0;79.5;21.0;3.656;4531;2014-11-21 15:11:25:574
