ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.8573,-9.44572,3.26449,0.29942,-9.49256,2.44403,1.55788,0.04684,0.82046,-0.37609,0.02076,-0.06326,1455.0,-12.42,43.38,-38.46,164.957,75.458,-6.985,1.97,52.0796,,,,NaN,,,,0 / 0,7,2014-12-14 13:57:05:597
-2.40198,-8.81844,3.19506,0.24675,-9.54598,2.23289,-2.64874,0.72754,0.96217,-0.4954,0.72596,-0.06113,1455.0,-11.82,44.34,-37.68,164.506,76.757,-6.306,1.97,47.5541,,,,NaN,,,,0 / 0,57,2014-12-14 13:57:05:647
-1.49937,-9.01956,3.95642,0.13198,-9.56783,2.1473,-1.63135,0.54827,1.80912,-0.38142,0.0687,-0.0345,1455.0,-11.7,44.88,-37.08,164.506,76.757,-6.306,1.97,47.5541,,,,NaN,,,,0 / 0,107,2014-12-14 13:57:05:697
1.90997,-7.66683,4.42808,0.25124,-9.56379,2.15493,1.65873,1.89696,2.27315,-0.23761,0.19014,-0.1879,1351.0,-11.22,45.84,-35.7,161.887,77.407,-3.945,1.97,47.5541,,,,NaN,,,,0 / 0,158,2014-12-14 13:57:05:748
1.71365,-7.80091,3.8391,0.34297,-9.55601,2.17663,1.37068,1.7551,1.66247,-0.22802,0.66524,-0.25181,1351.0,-10.62,46.44,-35.4,167.782,77.015,-8.954,1.97,47.5541,,,,NaN,,,,0 / 0,207,2014-12-14 13:57:05:797
-2.26312,-4.63338,0.91339,0.34192,-9.57067,2.11109,-2.60504,4.93729,-1.1977,-0.2962,0.73449,-0.2401,1351.0,-9.9,46.38,-35.1,170.388,77.404,-9.2,1.97,47.5541,,,,NaN,,,,0 / 0,257,2014-12-14 13:57:05:847
-4.07792,-9.8671,2.77608,0.23927,-9.58085,2.07877,-4.31719,-0.28626,0.69731,-0.25678,-0.28604,-0.15061,1351.0,-10.32,46.26,-34.86,170.388,77.404,-9.2,1.97,47.5541,,,,NaN,,,,0 / 0,307,2014-12-14 13:57:05:897
3.18848,-7.44657,0.00838,0.37065,-9.62275,1.85401,2.81783,2.17618,-1.84563,-0.30152,0.19546,-0.04302,1221.0,-9.18,45.78,-34.92,168.74,78.379,-7.762,1.97,47.5541,,,,NaN,,,,0 / 0,357,2014-12-14 13:57:05:947
0.79188,-9.40502,5.29957,0.46343,-9.62888,1.80059,0.32845,0.22386,3.49898,-0.30046,0.65566,-0.31786,1221.0,-8.4,45.12,-35.28,182.094,79.071,-14.433,1.97,51.5878,,,,NaN,,,,0 / 0,408,2014-12-14 13:57:05:998
3.42072,-17.0138,19.25297,0.63012,-9.36522,2.84027,2.25205,-10.26439,13.87141,4.01173,1.58776,-0.31147,1221.0,-8.22,45.24,-34.68,179.372,72.742,-12.509,1.97,51.5878,,,,NaN,,,,0 / 0,458,2014-12-14 13:57:06:048
-3.36206,-14.92845,-7.05452,0.3705,-8.63873,4.62665,-3.73256,-6.28972,-11.68116,3.36512,1.39815,0.1157,1143.0,-7.74,45.48,-34.26,179.372,72.742,-12.509,1.97,51.5878,,,,NaN,,,,0 / 0,507,2014-12-14 13:57:06:097
-0.01975,-15.00506,-1.44729,-0.36437,-7.85762,5.85622,-1.67848,-9.61586,-5.22534,2.61304,-0.25514,0.53115,1143.0,-6.0,41.76,-38.34,158.087,61.752,-4.578,1.97,51.5878,,,,NaN,,,,0 / 0,558,2014-12-14 13:57:06:148
4.048,-8.03554,-4.52863,-0.03726,-7.13278,6.7301,4.77,4.3142,-10.8182,1.8045,-1.13718,0.1647,1143.0,-4.5,37.02,-42.0,141.061,49.284,2.829,1.97,51.5878,,,,NaN,,,,0 / 0,607,2014-12-14 13:57:06:197
1.28988,-1.03729,-3.36744,0.03157,-7.11527,6.74851,1.2583,6.07798,-10.11595,-0.52949,0.95073,-0.24329,1123.0,0.36,25.8,-47.34,182.352,45.905,-0.784,1.97,51.5878,,,,NaN,,,,0 / 0,658,2014-12-14 13:57:06:248
1.99856,-3.19686,-1.23421,0.02634,-7.48203,6.33955,1.97222,4.28517,-7.57376,-1.64269,0.63755,-0.48937,1123.0,1.62,21.48,-48.72,182.352,45.905,-0.784,1.97,58.1874,,,,NaN,,,,0 / 0,708,2014-12-14 13:57:06:298
-2.49775,-2.6845,1.67474,0.10759,-8.25431,5.29388,-2.60534,5.56981,-3.61913,-2.69943,0.3691,-0.86647,1123.0,0.6,17.4,-51.0,182.823,53.243,-0.508,1.97,58.1874,,,,NaN,,,,0 / 0,757,2014-12-14 13:57:06:347
-3.1394,-7.53036,8.22049,0.33713,-8.86842,4.17235,-3.47653,1.33806,4.04815,-2.24776,-0.39256,-0.3903,1123.0,1.92,18.0,-51.0,186.933,61.06,-2.646,1.97,58.1874,,,,NaN,,,,0 / 0,807,2014-12-14 13:57:06:397
