ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2059,-9.9832,0.4119,0.7021,-9.7813,0.0587,-0.4605,-0.1923,0.3627,0.0183,-0.0195,-0.011,0.0,-4.2,-15.3,14.1,104.47,85.87,-84.43,0.4,57.218,,,,NaN,,,,0 / 0,8,2014-12-14 04:39:34:995
0.2059,-9.9832,0.4119,0.7021,-9.7813,0.0587,-0.4605,-0.1923,0.3627,0.0183,-0.0195,-0.011,0.0,-4.2,-15.3,14.1,104.47,85.87,-84.43,0.4,57.218,,,,NaN,,,,0 / 0,81,2014-12-14 04:39:35:068
0.304,-9.9243,0.353,0.6888,-9.7823,0.0502,-0.3848,-0.142,0.3028,0.0183,0.0012,-0.0122,0.0,-3.7,-15.7,13.1,107.44,85.96,-85.83,0.4,57.218,,,,NaN,,,,0 / 0,108,2014-12-14 04:39:35:095
0.353,-9.8851,0.4021,0.6888,-9.7823,0.0475,-0.3358,-0.1028,0.3546,0.0147,0.0024,-0.0159,0.0,-3.7,-15.7,14.1,106.23,85.96,-86.06,0.4,57.218,,,,NaN,,,,0 / 0,158,2014-12-14 04:39:35:145
0.3727,-9.9538,0.353,0.6895,-9.7823,0.0363,-0.3169,-0.1714,0.3167,0.0012,0.0293,-0.0086,0.0,-4.2,-15.3,13.6,106.23,85.96,-86.06,0.4,57.218,,,,NaN,,,,0 / 0,207,2014-12-14 04:39:35:194
0.4119,-9.9734,0.5198,0.7265,-9.7797,0.0165,-0.4247,-0.0777,0.4066,-0.0012,0.0318,-0.0318,0.0,-4.2,-15.3,14.6,107.96,85.81,-89.21,0.4,57.218,,,,NaN,,,,0 / 0,257,2014-12-14 04:39:35:244
0.2452,-9.8655,0.6374,0.7561,-9.7774,0.0166,-0.5109,-0.088,0.6208,-0.0684,0.0843,-0.0733,0.0,-4.2,-15.3,14.6,107.96,85.81,-89.21,0.4,57.218,,,,NaN,,,,0 / 0,307,2014-12-14 04:39:35:294
0.4413,-9.993,-0.0196,0.7635,-9.7763,-0.1047,-0.3222,-0.2167,0.0851,-0.0159,0.0855,-0.1503,0.0,-4.6,-16.1,13.6,114.98,86.1,-93.24,0.4,39.518,,,,NaN,,,,0 / 0,358,2014-12-14 04:39:35:345
0.5394,-9.9243,0.4707,0.8568,-9.7676,-0.172,-0.3174,-0.1567,0.6427,-0.0941,0.2211,-0.2004,0.0,-5.0,-15.7,14.1,123.74,85.3,-99.96,0.4,39.518,,,,NaN,,,,0 / 0,408,2014-12-14 04:39:35:395
-1.0689,-10.1107,0.0686,0.8636,-9.7659,-0.2296,-1.805,-0.2958,0.4257,-0.1588,0.2175,-0.2859,0.0,-5.5,-16.1,15.1,123.74,85.3,-99.96,0.4,39.518,,,,NaN,,,,0 / 0,458,2014-12-14 04:39:35:445
