sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.2553;-0.657;9.0319;0.6189;0.3734;9.78;-1.8741;-1.0304;-0.7481;0.8613;-1.752;0.9273;8.0;-22.3;-16.3;-30.3;126.41;-2.18;-3.62;0.4;34.831;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;116;2014-11-21 17:38:28:717
2.6772;7.0902;7.1098;3.1461;6.4803;6.6542;1.4864;-0.1697;-2.114;2.5595;-3.0946;-1.6958;17.0;-19.3;-27.1;-6.9;130.27;-17.7;-5.35;0.4;53.769;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;694;2014-11-21 17:38:29:295
-7.7571;5.9723;0.0;-8.4462;4.9347;0.6933;0.6695;1.1748;-0.2128;-0.2688;-0.0012;-0.0073;0.0;29.9;-18.0;19.0;266.54;-30.21;85.31;0.0;48.393;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;1705;2014-11-21 17:38:30:306
-2.1575;8.4828;10.0616;-0.5342;6.3501;7.4539;-1.6233;2.1326;2.6077;-1.7483;6.0146;0.4887;22.0;-11.9;-29.3;-20.5;129.65;-52.23;-2.25;0.4;35.922;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;2337;2014-11-21 17:38:30:938
-0.9807;5.5211;7.7374;-1.3543;5.1806;8.2157;0.354;0.3014;-0.341;0.0831;-0.0696;-0.0171;42.0;-14.5;-25.0;-24.4;120.11;-30.08;10.02;0.4;34.731;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;2955;2014-11-21 17:38:31:556
-0.8336;5.884;7.6002;-1.0632;5.8516;7.7974;0.168;0.1173;-0.2719;0.0929;-0.1442;-0.0183;60.0;-14.5;-26.7;-21.5;117.62;-36.42;8.05;0.4;34.968;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;3480;2014-11-21 17:38:32:081
