sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0098;-0.0686;9.8557;-0.1124;-0.0622;9.8058;0.1026;0.0131;0.0695;0.0281;0.0;-0.0037;7.0;-12.7;-16.7;-40.5;142.0;0.38;0.7;0.4;36.088;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;25;2014-11-21 17:37:44:342
0.1667;1.6573;9.3163;-0.1566;-0.0148;9.8054;1.1012;-0.3483;-0.076;0.0269;0.0024;-0.0037;7.0;-14.0;-16.3;-38.6;137.68;0.09;0.92;0.4;34.997;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;548;2014-11-21 17:37:44:865
-1.3631;1.2454;8.2474;-4.6935;1.7461;8.4316;5.7616;1.5291;5.3078;0.7257;2.7526;0.2297;10.0;2.0;-18.4;-40.0;128.38;-5.63;29.88;0.4;49.6;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;1059;2014-11-21 17:37:45:376
-3.8148;7.4334;-0.8041;-5.2626;8.2526;-0.609;-1.2953;-2.1242;-2.08;4.2211;-4.6914;-3.7642;0.0;19.0;-23.2;22.9;185.16;-49.45;-2.42;0.4;55.551;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;1584;2014-11-21 17:37:45:901
-8.218;5.1191;-1.3141;-7.0418;6.7713;-0.8563;-1.1762;-1.6522;-0.4578;-0.7782;0.1014;0.573;0.0;26.8;-17.6;21.4;294.74;-43.5;99.12;0.4;34.883;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;2115;2014-11-21 17:37:46:432
-1.726;5.0798;9.9341;-1.285;4.364;8.6876;-0.499;1.0803;0.9184;-0.6475;1.4759;1.0189;26.0;-11.9;-28.9;-22.5;140.66;-30.29;5.76;0.4;46.493;35.178047;126.90888;;;64.51613;0 / 0;82.4;75.0;3.821;2638;2014-11-21 17:37:46:955
