ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.937,-9.5591,0.4966,0.9569,-9.7549,0.3118,0.2853,-0.0139,0.2033,8.62,51.15,-36.11,268.01,84.62,-68.14,0.0,66.746,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3,2014-12-14 14:31:49:966
0.4772,-9.425,0.4008,0.9131,-9.7581,0.3406,-0.3918,0.1285,-0.0181,8.62,50.09,-36.17,275.48,84.11,-71.95,0.0,66.746,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,53,2014-12-14 14:31:50:016
0.573,-9.5016,0.0751,0.8679,-9.7633,0.3069,-0.3313,0.0349,-0.3324,8.99,50.09,-34.3,272.52,84.3,-69.55,0.0,66.746,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,103,2014-12-14 14:31:50:066
0.9178,-9.4825,0.5541,0.8336,-9.7672,0.2766,-0.1621,0.0615,-0.0732,9.37,50.46,-34.11,273.8,84.79,-71.56,0.0,66.746,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,153,2014-12-14 14:31:50:116
1.5883,-9.8656,0.42,0.9389,-9.7551,0.3565,0.8014,-0.2088,0.3445,10.12,50.78,-34.11,273.8,84.79,-71.56,0.0,46.125,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,203,2014-12-14 14:31:50:166
0.9178,-9.4825,-0.1165,0.997,-9.7506,0.319,-0.1107,0.1069,-0.4164,10.87,49.71,-30.49,277.17,84.12,-69.21,0.0,46.125,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,253,2014-12-14 14:31:50:216
-0.8831,-9.1376,-0.6337,0.9693,-9.7546,0.2814,-0.393,0.0737,-0.5216,10.49,49.71,-28.74,282.26,84.09,-73.81,0.0,46.125,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,303,2014-12-14 14:31:50:266
-0.5957,-9.2525,-0.5762,0.6037,-9.7877,0.0863,-1.4982,0.3801,-0.732,12.3,49.71,-28.86,286.95,85.07,-76.98,0.0,46.125,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,353,2014-12-14 14:31:50:316
0.8412,-9.5399,0.8223,0.5352,-9.7918,0.0713,-0.0725,-0.171,0.233,13.43,49.71,-27.42,286.95,85.07,-76.98,0.0,46.125,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,403,2014-12-14 14:31:50:366
2.0673,-10.4021,2.5274,0.6116,-9.7858,0.1877,0.6575,0.6841,0.8872,14.93,50.46,-26.55,296.04,86.84,-82.42,0.0,46.125,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,453,2014-12-14 14:31:50:416
1.6458,-9.6166,1.3779,0.79,-9.7662,0.4086,1.3073,-0.5819,1.7585,13.8,48.59,-26.11,296.04,86.84,-82.42,0.0,46.125,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,503,2014-12-14 14:31:50:466
3.9448,-11.0534,2.1059,1.2023,-9.7082,0.6903,2.3503,-0.7995,0.8583,15.68,50.46,-26.55,279.85,84.8,-62.65,0.0,51.91,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,553,2014-12-14 14:31:50:516
3.4467,-11.7048,3.1021,1.5198,-9.6431,0.933,2.3714,-1.9926,2.1046,14.93,47.84,-27.86,280.46,81.87,-60.14,0.0,51.91,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,603,2014-12-14 14:31:50:566
-1.362,-10.5362,1.8185,1.4119,-9.6534,0.9945,-1.4018,-1.1678,0.9887,15.68,49.34,-27.8,280.46,81.87,-60.14,0.0,51.91,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,653,2014-12-14 14:31:50:616
2.6037,-10.9768,5.2287,1.3831,-9.5931,1.4933,1.058,-1.5726,2.1952,14.55,47.46,-30.8,278.15,79.86,-54.84,0.0,51.91,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,703,2014-12-14 14:31:50:666
4.2705,-10.8235,5.8418,1.5629,-9.4934,1.8983,1.9345,-0.0722,3.2052,15.3,43.78,-32.61,262.2,78.02,-42.81,0.0,51.91,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,753,2014-12-14 14:31:50:716
2.9869,-10.5362,5.5927,1.8734,-9.3053,2.4642,1.1547,-0.125,2.8945,13.43,40.09,-36.49,254.91,75.48,-39.46,0.0,51.91,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,803,2014-12-14 14:31:50:766
1.1094,-6.7428,4.9413,1.8422,-9.2295,2.7554,-0.7407,1.9026,1.8758,12.3,35.34,-39.36,254.91,75.48,-39.46,0.0,51.91,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,853,2014-12-14 14:31:50:816
2.1056,-4.9419,3.8493,1.8493,-9.1319,3.0591,-0.3839,4.2721,0.9226,11.24,32.34,-40.92,244.09,70.25,-33.77,0.0,51.91,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,903,2014-12-14 14:31:50:866
4.0215,-4.3097,3.1979,2.0303,-9.017,3.2775,0.8761,4.6181,0.1032,13.8,27.15,-39.17,244.09,70.25,-33.77,0.0,68.3,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,953,2014-12-14 14:31:50:916
-0.634,-3.2752,3.1213,2.5065,-8.7599,3.6267,-1.7071,4.5882,-0.2427,19.74,29.78,-36.99,251.04,66.85,-31.78,0.0,68.3,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1003,2014-12-14 14:31:50:966
-1.4195,-2.9686,3.1405,2.1132,-8.7744,3.8359,-3.8284,3.9342,-0.7528,21.93,30.9,-35.42,269.08,63.29,-34.65,0.0,68.3,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1053,2014-12-14 14:31:51:016
-8.987,3.2386,-8.5653,1.7358,-8.8235,3.9119,-3.9237,7.5806,-5.3399,21.18,33.46,-33.67,269.08,63.29,-34.65,0.0,68.3,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1103,2014-12-14 14:31:51:066
-5.0979,-26.0544,-7.3774,0.9538,-8.746,4.3322,3.0415,-24.9976,16.694,19.37,36.4,-34.36,260.31,64.13,-23.93,0.0,68.3,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1153,2014-12-14 14:31:51:116
-3.2778,-21.2456,-2.0706,-0.4594,-9.3613,2.8854,-8.3803,17.8918,-11.3553,17.87,39.71,-35.68,206.11,72.67,9.05,0.0,68.3,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1203,2014-12-14 14:31:51:166
-2.5881,-7.2409,-2.9327,-0.5115,-9.7819,0.4718,-2.1683,0.4335,-3.1515,17.87,40.09,-33.8,206.11,72.67,9.05,0.0,68.3,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1253,2014-12-14 14:31:51:216
-2.2816,-9.8465,-3.4308,-0.8412,-9.7698,-0.1133,-1.8675,-1.9021,-3.7302,19.37,41.21,-33.05,161.16,85.93,47.32,0.0,69.686,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1304,2014-12-14 14:31:51:267
-2.7989,-14.6743,-7.8564,-0.9966,-9.7433,-0.4959,-2.2147,-3.2973,-4.7283,20.8,43.78,-29.11,161.16,85.93,47.32,0.0,69.686,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1353,2014-12-14 14:31:51:316
9.6157,-35.2312,-8.5653,-0.754,-9.644,-1.6111,2.2798,-14.7268,-9.5699,24.49,45.28,-23.18,100.96,83.48,116.45,0.0,69.686,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1403,2014-12-14 14:31:51:366
6.6845,-5.8424,13.6967,1.0647,-9.7487,0.0034,4.77,6.1793,11.582,31.18,43.46,-15.74,27.61,82.64,-148.92,0.0,69.686,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1453,2014-12-14 14:31:51:416
12.1829,-5.6891,8.9837,1.4673,-9.6645,0.7836,6.6162,8.5733,14.3056,29.68,41.21,-16.42,27.61,82.64,-148.92,0.0,69.686,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1503,2014-12-14 14:31:51:466
10.8226,-4.2522,5.6693,2.7023,-9.3052,1.5105,11.3191,5.4996,4.9635,29.68,40.84,-19.8,306.78,80.23,-61.9,0.0,69.686,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1553,2014-12-14 14:31:51:516
7.5083,-4.5396,4.7306,3.535,-8.9356,1.9567,4.4471,6.953,2.4638,27.12,40.46,-22.3,306.78,80.23,-61.9,0.0,69.686,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1603,2014-12-14 14:31:51:566
-5.3086,-35.9017,-5.634,3.7591,-9.0045,0.9795,-1.6334,-18.6669,-2.0065,18.99,41.21,-25.3,314.29,63.45,-68.4,0.0,72.555,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1653,2014-12-14 14:31:51:616
-5.5768,-30.4225,-7.2625,2.192,-9.553,0.3258,-12.6128,-21.4038,-5.5086,13.8,40.09,-31.49,298.93,76.94,-81.55,0.0,72.555,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1703,2014-12-14 14:31:51:666
-8.6613,-15.1916,-8.4312,1.4005,-9.7027,-0.2594,-7.0387,-7.7198,-6.9649,11.62,32.34,-34.49,298.93,76.94,-81.55,0.0,72.555,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1753,2014-12-14 14:31:51:716
-10.9986,-2.5663,-7.7989,0.563,-9.7532,-0.854,-11.8476,9.7965,-6.6328,14.93,26.09,-33.86,305.25,81.65,-100.49,0.0,72.555,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1803,2014-12-14 14:31:51:766
-9.0445,4.4265,-7.3008,-1.5759,-9.2805,-2.7494,-11.8995,19.4188,-7.0851,14.93,24.59,-34.8,31.51,80.48,168.78,0.0,72.555,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1853,2014-12-14 14:31:51:816
12.202,-7.126,9.501,-1.6315,-9.1864,-3.0198,7.3344,8.7987,5.2138,17.87,24.59,-33.92,31.51,80.48,168.78,0.0,72.555,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1903,2014-12-14 14:31:51:866
0.4772,-6.0531,2.5657,-0.0467,-9.693,-1.4876,10.8306,0.0701,12.918,15.99,26.46,-32.17,45.93,69.51,151.62,0.0,70.244,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,1953,2014-12-14 14:31:51:916
-23.2025,20.4045,-18.5084,-0.0129,-9.6766,-1.5918,-5.5639,7.0903,-14.4504,16.37,29.03,-32.11,67.12,81.86,133.53,0.0,70.244,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2003,2014-12-14 14:31:51:966
-4.8297,-18.4485,-7.3391,-2.6985,-8.7325,-3.5542,-13.0962,8.1004,-10.0305,17.12,30.15,-29.05,27.33,80.66,179.54,0.0,70.244,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2053,2014-12-14 14:31:52:016
-1.3046,-22.2993,-13.2399,-2.6199,-8.7544,-3.5591,-3.6702,-14.4805,-6.1542,18.99,32.34,-26.24,27.33,80.66,179.54,0.0,70.244,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2103,2014-12-14 14:31:52:066
8.4087,-32.3958,-3.6416,-1.6617,-8.933,-3.6893,8.6388,-16.441,-4.2851,19.74,33.46,-23.61,54.62,63.21,143.64,0.0,70.244,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2153,2014-12-14 14:31:52:116
7.0485,-4.2139,13.6967,0.0913,-9.6299,-1.8515,6.3281,5.9031,12.6015,25.24,34.59,-20.3,50.24,73.02,167.77,0.0,70.244,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2203,2014-12-14 14:31:52:166
13.4282,-5.555,10.8804,0.4898,-9.7257,-1.1585,7.5928,9.3499,15.5443,27.12,33.46,-18.8,50.24,73.02,167.77,0.0,70.244,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2253,2014-12-14 14:31:52:216
7.3167,-3.62,5.1329,2.0008,-9.5951,0.3186,5.2877,7.9941,6.039,24.49,35.65,-20.11,24.0,82.63,-157.08,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2303,2014-12-14 14:31:52:266
10.0755,-9.061,-4.5229,2.6938,-9.3986,0.7617,3.6493,7.7194,2.5416,23.43,34.96,-21.61,24.0,82.63,-157.08,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2353,2014-12-14 14:31:52:316
12.2978,-39.2928,-0.787,3.1507,-9.2838,-0.2335,-1.5348,-25.7453,0.7069,15.3,38.65,-24.86,308.04,73.41,-74.21,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2403,2014-12-14 14:31:52:366
-11.9566,-34.6564,-5.8256,2.3667,-9.5062,-0.4493,-12.033,-19.6102,-5.0639,12.3,36.78,-23.18,320.48,75.78,-100.75,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2453,2014-12-14 14:31:52:416
-9.6576,-12.7202,-5.8256,0.6129,-9.7108,-1.2231,-8.5283,2.3646,-3.7824,6.05,31.96,-27.11,312.54,80.14,-111.98,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2504,2014-12-14 14:31:52:467
-13.7766,0.7481,-6.6111,0.1162,-9.7047,-1.4054,-12.0609,7.2384,-3.3676,6.05,31.21,-30.74,312.54,80.14,-111.98,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2553,2014-12-14 14:31:52:516
-12.2439,9.0819,-8.776,-1.6364,-9.3418,-2.4947,-9.5235,21.0897,-5.5031,6.05,31.21,-30.86,5.51,81.73,-175.27,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2603,2014-12-14 14:31:52:566
6.9527,-5.1144,4.7689,-2.4656,-8.9136,-3.2618,-1.1726,13.1869,-1.5649,8.24,32.71,-27.36,38.15,72.29,146.74,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2653,2014-12-14 14:31:52:616
2.2972,-9.7315,8.045,-0.633,-9.7352,-0.9977,2.8146,1.2254,7.2095,7.55,35.28,-26.05,37.2,65.36,142.91,0.0,72.958,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2707,2014-12-14 14:31:52:670
38.8704,-39.2928,18.9269,-0.9378,-9.5449,-2.0457,-12.0929,3.333,-3.718,6.43,38.28,-24.74,37.2,65.36,142.91,0.0,71.37,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2753,2014-12-14 14:31:52:716
-29.678,-4.5779,-8.8526,-1.3707,-9.2634,-2.9123,-9.4761,17.2931,-15.5725,4.18,37.15,-24.3,24.18,80.23,159.51,0.0,71.37,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2803,2014-12-14 14:31:52:766
-2.6648,-26.2651,-11.9563,-5.1104,-7.2172,-4.2387,-15.4943,-2.3093,-7.5051,6.05,40.84,-19.92,24.18,80.23,159.51,0.0,71.37,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2853,2014-12-14 14:31:52:816
5.784,-28.066,-5.1742,-3.5339,-8.2445,-3.9635,6.952,-23.7177,-2.0902,11.62,43.78,-15.49,32.59,47.39,129.67,0.0,71.37,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2903,2014-12-14 14:31:52:866
6.0139,-24.7133,2.5849,-2.1709,-8.9943,-3.2495,8.3588,-15.5342,4.6129,14.18,43.4,-12.8,32.59,47.39,129.67,0.0,71.37,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,2953,2014-12-14 14:31:52:916
9.3666,-5.67,10.6888,0.161,-9.7235,-1.2641,8.7386,6.7,11.5364,20.8,43.4,-9.8,53.53,66.52,146.25,0.0,71.37,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3004,2014-12-14 14:31:52:967
7.1251,-4.3097,10.7655,0.6643,-9.7664,-0.5891,8.0204,5.8023,11.7457,22.68,43.78,-11.36,47.81,82.53,-172.74,0.0,71.37,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3053,2014-12-14 14:31:53:016
8.1597,-3.256,0.8606,1.9157,-9.5826,0.8211,5.5549,6.6064,1.9196,21.18,45.28,-14.24,47.81,82.53,-172.74,0.0,72.154,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3103,2014-12-14 14:31:53:066
9.6732,-5.7466,1.3013,2.394,-9.4632,0.9421,5.9658,5.5104,1.3742,21.18,44.9,-14.61,315.76,77.73,-66.8,0.0,72.154,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3153,2014-12-14 14:31:53:116
-11.765,-37.5493,-5.4999,2.4251,-9.4922,-0.432,-10.6305,-19.5188,-5.233,14.55,49.71,-22.3,328.11,75.45,-100.1,0.0,72.154,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3203,2014-12-14 14:31:53:166
-4.9063,-22.2993,-7.2433,1.1115,-9.7127,-0.773,-9.065,-12.6953,-4.6663,9.74,49.34,-25.67,328.11,75.45,-100.1,0.0,72.154,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3253,2014-12-14 14:31:53:216
-13.6042,-0.3439,-6.2854,-0.4962,-9.667,-1.5728,-12.6772,12.1319,-3.3636,6.43,41.59,-31.24,323.91,82.06,-124.82,0.0,72.154,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3303,2014-12-14 14:31:53:266
-12.5888,5.9783,-6.1513,-1.1084,-9.5638,-1.8642,-11.6044,17.1407,-3.4398,6.8,39.71,-34.11,24.78,80.32,162.49,0.0,72.154,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3353,2014-12-14 14:31:53:316
1.5117,0.0392,-0.1356,-2.8547,-8.8811,-3.0244,-4.1129,14.8322,-0.5439,9.37,40.84,-32.05,40.94,64.91,136.65,0.0,72.154,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3403,2014-12-14 14:31:53:366
17.2215,-12.701,12.3364,-1.8326,-9.2964,-2.5277,14.2811,1.7479,8.9941,10.49,41.59,-31.3,40.94,64.91,136.65,0.0,70.929,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3453,2014-12-14 14:31:53:416
-23.2791,5.0779,-20.6733,-0.6951,-9.6813,-1.4,-4.6251,9.369,-8.652,5.3,40.46,-33.92,35.95,71.44,144.06,0.0,70.929,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3503,2014-12-14 14:31:53:466
6.148,-11.0151,-8.5653,0.0946,-9.7375,-1.1585,27.2755,-25.9143,14.0162,7.55,39.03,-32.36,8.27,83.19,-175.33,0.0,70.929,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3553,2014-12-14 14:31:53:516
6.148,-11.0151,-8.5653,0.0946,-9.7375,-1.1585,27.2755,-25.9143,14.0162,7.55,39.03,-32.36,8.27,83.19,-175.33,0.0,70.929,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3603,2014-12-14 14:31:53:566
-34.7932,-4.5779,-11.6114,-1.4293,-9.0617,-3.4659,-22.0255,32.5299,-10.206,5.68,36.78,-31.36,24.27,67.52,157.59,0.0,70.929,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3655,2014-12-14 14:31:53:618
0.6496,-22.8741,-9.0442,-2.3889,-8.7637,-3.696,8.5588,-19.1783,2.709,10.12,38.28,-22.86,30.44,67.52,157.59,0.0,70.929,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3703,2014-12-14 14:31:53:666
1.0711,-4.712,7.6043,-0.308,-9.4838,-2.4766,12.6394,-0.8065,8.0822,13.8,38.28,-19.8,30.44,67.52,157.59,0.0,70.929,35.178112,126.90894,,154.3041793684006,,87.09678,,0 / 22,3753,2014-12-14 14:31:53:716
