sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.1031;-9.0818;3.1208;0.9893;-9.3742;2.7048;0.1139;0.2924;0.416;-0.2312;-0.1503;0.0877;23.0;-32.16;44.52;-24.18;128.47;72.17;-19.11;2.0;52.293;;;;;;0 / 0;91.6;5.0;3.572;13;2014-11-21 16:45:20:591
0.6075;-9.7139;-0.1425;0.5703;-9.7863;0.2764;0.0373;0.0724;-0.4188;-0.4932;-0.145;0.06;23.0;-32.22;44.58;-24.18;157.13;84.06;-32.97;2.0;67.897;;;;;;0 / 0;91.6;5.0;3.572;518;2014-11-21 16:45:21:096
0.5932;-9.6061;0.1257;0.7003;-9.7817;0.0298;-0.1071;0.1755;0.0959;0.0192;0.051;-0.0274;17.0;-30.06;44.88;-15.84;208.27;85.9;-87.57;2.0;47.105;;;;;;0 / 0;91.6;5.0;3.572;1030;2014-11-21 16:45:21:608
0.9284;-9.5439;-0.65;0.7527;-9.7733;-0.2988;0.1757;0.2294;-0.3512;-0.2408;0.019;0.0546;17.0;-29.94;43.56;-7.8;221.1;85.26;-111.65;2.0;47.387;;;;;;0 / 0;91.6;5.0;3.572;1548;2014-11-21 16:45:22:126
0.8517;-9.7187;-1.1863;0.5707;-9.6813;-1.4561;0.281;-0.0374;0.2698;-0.0714;-0.0023;0.012;11.0;-30.54;43.38;-7.2;273.87;80.82;-158.6;2.0;69.416;;;;;;0 / 0;91.6;5.0;3.572;2060;2014-11-21 16:45:22:638
0.5142;-9.5654;-1.634;0.543;-9.6218;-1.8162;-0.0289;0.0564;0.1821;-0.0085;-0.0086;-0.0103;11.0;-29.94;41.34;-2.22;271.46;79.33;-162.78;2.0;63.973;;;;;;0 / 0;91.6;5.0;3.572;2564;2014-11-21 16:45:23:142
0.404;-9.4385;-1.8495;0.5336;-9.6043;-1.9086;-0.1296;0.1658;0.0591;-0.0213;0.0308;0.0067;11.0;-31.02;39.48;1.32;266.84;78.46;-163.77;2.0;61.281;;;;;;0 / 0;91.6;5.0;3.572;3088;2014-11-21 16:45:23:666
0.4663;-9.4601;-1.8854;0.513;-9.5876;-1.9966;-0.0467;0.1275;0.1112;-0.033;-0.064;-0.0242;11.0;-29.58;40.38;1.02;270.32;77.87;-165.59;2.0;58.121;;;;;;0 / 0;91.6;5.0;3.572;3588;2014-11-21 16:45:24:166
0.5381;-9.4553;-1.7897;0.5501;-9.5811;-2.0176;-0.012;0.1258;0.2279;0.0043;-0.0076;-0.005;11.0;-29.58;39.24;2.16;267.45;77.68;-164.76;2.0;63.452;;;;;;0 / 0;91.6;5.0;3.572;4099;2014-11-21 16:45:24:677
0.5094;-9.4314;-1.7945;0.5414;-9.5774;-2.0379;-0.032;0.146;0.2435;0.0096;0.0212;0.0312;11.0;-30.06;39.72;2.4;268.37;77.58;-165.12;2.0;60.932;;;;;;0 / 0;91.6;5.0;3.572;4603;2014-11-21 16:45:25:181
0.744;-9.3356;-2.1296;0.5125;-9.5693;-2.0827;0.2315;0.2337;-0.047;-0.0032;-0.0321;-0.005;11.0;-30.54;38.82;2.76;267.21;77.51;-166.59;2.0;62.952;;;;;;0 / 0;91.6;5.0;3.572;5105;2014-11-21 16:45:25:683
