sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.2903;-9.2039;3.7505;4;2014-12-10 14:45:51:484
-0.2855;-9.0124;3.3579;54;2014-12-10 14:45:51:534
-0.0365;-9.1177;3.3339;104;2014-12-10 14:45:51:584
-0.4507;-9.1704;3.1735;155;2014-12-10 14:45:51:635
-0.3382;-9.3715;3.1472;204;2014-12-10 14:45:51:684
0.234;-9.3954;3.0706;254;2014-12-10 14:45:51:734
-0.1658;-8.9573;1.7705;304;2014-12-10 14:45:51:784
0.1526;-9.5511;2.9078;354;2014-12-10 14:45:51:834
-0.0892;-9.1704;2.8503;404;2014-12-10 14:45:51:884
-0.2328;-9.4409;2.3236;454;2014-12-10 14:45:51:934
0.4112;-9.0986;1.9453;504;2014-12-10 14:45:51:984
0.5908;-9.7546;2.4217;554;2014-12-10 14:45:52:034
0.0808;-9.5128;1.6125;604;2014-12-10 14:45:52:084
-0.0652;-9.6253;1.5263;655;2014-12-10 14:45:52:135
0.5932;-9.4601;1.3372;704;2014-12-10 14:45:52:184
0.5022;-9.2326;0.9206;754;2014-12-10 14:45:52:234
0.5477;-9.6756;1.148;804;2014-12-10 14:45:52:284
0.5477;-9.6397;0.8296;854;2014-12-10 14:45:52:334
0.4902;-9.6804;0.9373;904;2014-12-10 14:45:52:384
0.7248;-9.5104;0.9134;954;2014-12-10 14:45:52:434
0.483;-9.5295;0.5016;1005;2014-12-10 14:45:52:485
0.4902;-9.4529;0.1664;1054;2014-12-10 14:45:52:534
0.4926;-9.6851;0.4513;1104;2014-12-10 14:45:52:584
0.5333;-9.7163;0.2286;1155;2014-12-10 14:45:52:635
0.5261;-9.6037;0.4058;1204;2014-12-10 14:45:52:684
0.3705;-9.7067;0.6812;1254;2014-12-10 14:45:52:734
0.2747;-9.6061;0.3771;1304;2014-12-10 14:45:52:784
0.4447;-9.6013;0.0251;1354;2014-12-10 14:45:52:834
0.5285;-9.7163;-0.0754;1404;2014-12-10 14:45:52:884
0.7009;-9.4984;-0.2191;1454;2014-12-10 14:45:52:934
0.4519;-9.5319;-0.1329;1504;2014-12-10 14:45:52:984
0.3466;-9.6109;0.1209;1554;2014-12-10 14:45:53:034
0.4375;-9.599;-0.0132;1605;2014-12-10 14:45:53:085
0.5716;-9.4361;-0.1353;1655;2014-12-10 14:45:53:135
0.416;-9.575;-0.2215;1704;2014-12-10 14:45:53:184
0.5788;-9.5152;-0.425;1754;2014-12-10 14:45:53:234
0.5501;-9.5104;-0.2765;1804;2014-12-10 14:45:53:284
0.6506;-9.666;-0.7123;1854;2014-12-10 14:45:53:334
0.9164;-9.4409;-0.5303;1904;2014-12-10 14:45:53:384
0.6626;-9.4529;-0.8918;1954;2014-12-10 14:45:53:434
0.9188;-9.3739;-1.1839;2004;2014-12-10 14:45:53:484
0.8469;-9.4338;-1.2127;2054;2014-12-10 14:45:53:534
1.1055;-9.4936;-1.2965;2104;2014-12-10 14:45:53:584
0.7655;-9.2877;-1.1121;2154;2014-12-10 14:45:53:634
0.4088;-9.5774;-0.8871;2204;2014-12-10 14:45:53:684
2.2069;-9.2422;-1.555;2255;2014-12-10 14:45:53:735
0.1574;-9.6516;2.9676;2304;2014-12-10 14:45:53:784
0.3849;-10.5854;6.456;2355;2014-12-10 14:45:53:835
0.9284;-10.1496;2.4648;2405;2014-12-10 14:45:53:885
-1.8274;-6.9869;-3.7026;2454;2014-12-10 14:45:53:934
4.7878;-3.5751;0.1377;2505;2014-12-10 14:45:53:985
-3.9295;-4.1474;4.5215;2554;2014-12-10 14:45:54:034
0.9906;-7.018;3.5207;2605;2014-12-10 14:45:54:085
1.2755;-3.975;-0.0323;2655;2014-12-10 14:45:54:135
-0.9224;-7.8464;6.6044;2704;2014-12-10 14:45:54:184
3.0233;-4.1186;-0.8056;2755;2014-12-10 14:45:54:235
1.6921;-14.4472;7.9595;2805;2014-12-10 14:45:54:285
-3.3118;-8.7586;6.851;2854;2014-12-10 14:45:54:334
19.584;-19.5181;-1.0882;2904;2014-12-10 14:45:54:384
-12.1296;-2.481;-14.4167;2955;2014-12-10 14:45:54:435
3.1334;-5.1793;-0.6907;3004;2014-12-10 14:45:54:484
6.4997;-9.8527;-3.2262;3054;2014-12-10 14:45:54:534
4.4287;-12.3786;-3.5207;3104;2014-12-10 14:45:54:584
7.1006;-7.1545;-5.6395;3154;2014-12-10 14:45:54:634
8.8244;-2.1506;-5.6491;3204;2014-12-10 14:45:54:684
7.9601;-2.4882;-4.3275;3254;2014-12-10 14:45:54:734
7.862;-12.6899;-3.1328;3304;2014-12-10 14:45:54:784
9.6576;-0.1969;-6.4416;3354;2014-12-10 14:45:54:834
8.5515;0.8733;-7.0114;3404;2014-12-10 14:45:54:884
4.9027;-0.6135;-4.5262;3454;2014-12-10 14:45:54:934
6.2555;-1.6885;-6.3506;3504;2014-12-10 14:45:54:984
6.7582;0.1263;-10.5141;3554;2014-12-10 14:45:55:034
6.3536;-0.4124;-8.57;3605;2014-12-10 14:45:55:085
6.1717;0.7129;-7.2125;3654;2014-12-10 14:45:55:134
6.2147;-0.2496;-6.1663;3704;2014-12-10 14:45:55:184
7.3041;-1.2504;-7.6172;3754;2014-12-10 14:45:55:234
7.1557;-2.2416;-5.2996;3804;2014-12-10 14:45:55:284
7.5316;-2.5983;-5.8191;3854;2014-12-10 14:45:55:334
6.9977;-2.0883;-6.8438;3905;2014-12-10 14:45:55:385
7.1581;-2.6701;-5.7305;3955;2014-12-10 14:45:55:435
7.2682;-2.8689;-6.0154;4004;2014-12-10 14:45:55:484
9.0279;-4.3916;-5.4073;4054;2014-12-10 14:45:55:534
9.8252;-5.2008;-4.0091;4104;2014-12-10 14:45:55:584
9.842;-4.9997;-2.0195;4154;2014-12-10 14:45:55:634
7.261;-1.5903;-3.0299;4205;2014-12-10 14:45:55:685
6.787;-0.3166;-3.9444;4254;2014-12-10 14:45:55:734
7.261;-0.0126;-5.8095;4304;2014-12-10 14:45:55:784
9.6576;-1.5592;-7.8159;4354;2014-12-10 14:45:55:834
8.3456;-3.2711;-2.9437;4405;2014-12-10 14:45:55:885
8.0894;-3.1131;-2.6779;4454;2014-12-10 14:45:55:934
8.8963;-3.3956;-4.1312;4504;2014-12-10 14:45:55:984
8.2426;-3.623;-3.7673;4555;2014-12-10 14:45:56:035
8.2857;-3.4913;-3.6907;4604;2014-12-10 14:45:56:084
8.5706;-3.2735;-3.6188;4655;2014-12-10 14:45:56:135
8.2857;-3.3692;-3.7266;4704;2014-12-10 14:45:56:184
8.2953;-3.1729;-3.65;4754;2014-12-10 14:45:56:234
8.3647;-3.1538;-3.6476;4805;2014-12-10 14:45:56:285
8.4725;-3.3094;-3.8678;4854;2014-12-10 14:45:56:334
8.2881;-3.1657;-3.6428;4904;2014-12-10 14:45:56:384
8.4868;-3.2902;-3.7146;4954;2014-12-10 14:45:56:434
8.3552;-3.4123;-3.6667;5012;2014-12-10 14:45:56:492
8.3743;-3.2591;-3.7146;5055;2014-12-10 14:45:56:535
8.5132;-3.283;-3.7457;5105;2014-12-10 14:45:56:585
8.1086;-3.2759;-3.5662;5154;2014-12-10 14:45:56:634
