sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.5106;-9.18;3.1448;5;2014-12-10 14:47:59:848
-0.4268;-9.2949;2.6947;55;2014-12-10 14:47:59:898
-0.1969;-9.1225;2.5007;105;2014-12-10 14:47:59:948
-0.1299;-9.5176;2.223;156;2014-12-10 14:47:59:999
-0.0916;-9.3954;2.5702;206;2014-12-10 14:48:00:049
0.2364;-9.3404;3.6164;256;2014-12-10 14:48:00:099
-0.0557;-9.156;3.0754;305;2014-12-10 14:48:00:148
-0.7093;-9.6109;1.2917;355;2014-12-10 14:48:00:198
-0.0652;-9.7642;1.9573;406;2014-12-10 14:48:00:249
0.5812;-9.5176;1.6843;456;2014-12-10 14:48:00:299
0.3202;-9.4218;1.4569;505;2014-12-10 14:48:00:348
0.0449;-9.5822;1.5167;555;2014-12-10 14:48:00:398
0.2939;-9.5822;0.9062;605;2014-12-10 14:48:00:448
0.1646;-9.6205;0.5782;655;2014-12-10 14:48:00:498
0.3633;-9.7833;0.0658;705;2014-12-10 14:48:00:548
0.9834;-9.7642;-0.2023;755;2014-12-10 14:48:00:598
0.5692;-9.7043;-0.2023;806;2014-12-10 14:48:00:649
0.5405;-9.6708;-0.3747;855;2014-12-10 14:48:00:698
0.1694;-9.666;-0.1041;905;2014-12-10 14:48:00:748
0.8781;-9.6804;-0.0419;955;2014-12-10 14:48:00:798
0.4351;-9.6588;-0.4513;1005;2014-12-10 14:48:00:848
0.4878;-9.5439;-0.3148;1055;2014-12-10 14:48:00:898
0.3178;-9.642;0.1401;1106;2014-12-10 14:48:00:949
0.4064;-9.5104;-0.0611;1155;2014-12-10 14:48:00:998
0.2556;-9.6181;-0.1544;1205;2014-12-10 14:48:01:048
0.1335;-9.5152;-0.0419;1255;2014-12-10 14:48:01:098
0.5285;-9.6804;0.1018;1305;2014-12-10 14:48:01:148
0.5453;-9.508;-0.2023;1356;2014-12-10 14:48:01:199
0.4711;-9.6109;-0.3675;1405;2014-12-10 14:48:01:248
0.5453;-9.5654;-0.2765;1456;2014-12-10 14:48:01:299
0.3442;-9.6085;-0.2167;1505;2014-12-10 14:48:01:348
0.5453;-9.5128;-0.3077;1556;2014-12-10 14:48:01:399
0.7392;-9.4792;-0.583;1605;2014-12-10 14:48:01:448
0.6123;-9.6851;-0.5734;1655;2014-12-10 14:48:01:498
0.6698;-9.4601;-0.6644;1705;2014-12-10 14:48:01:548
0.4854;-9.5367;-0.8942;1755;2014-12-10 14:48:01:598
0.7679;-9.5056;-1.0044;1805;2014-12-10 14:48:01:648
0.7248;-9.4936;-1.0858;1855;2014-12-10 14:48:01:698
0.3585;-9.4026;-0.6668;1905;2014-12-10 14:48:01:748
0.5788;-9.5319;-0.5255;1956;2014-12-10 14:48:01:799
0.3609;-9.3284;-0.5064;2005;2014-12-10 14:48:01:848
-0.1419;-8.2678;3.2382;2055;2014-12-10 14:48:01:898
-0.841;-8.9836;9.7671;2105;2014-12-10 14:48:01:948
0.6746;-7.7147;2.4122;2155;2014-12-10 14:48:01:998
-1.4635;-6.0962;-6.784;2205;2014-12-10 14:48:02:048
-5.0691;-5.7467;8.6036;2255;2014-12-10 14:48:02:098
-2.8234;-8.1361;4.1887;2305;2014-12-10 14:48:02:148
-3.2423;-4.3341;1.6843;2355;2014-12-10 14:48:02:198
1.467;-6.4578;3.3148;2406;2014-12-10 14:48:02:249
1.8669;-14.6651;0.1233;2455;2014-12-10 14:48:02:298
2.6618;-13.207;0.674;2505;2014-12-10 14:48:02:348
2.3721;-5.1888;-0.911;2555;2014-12-10 14:48:02:398
17.2664;-19.5181;-10.4878;2605;2014-12-10 14:48:02:448
-10.8583;-10.3005;1.816;2655;2014-12-10 14:48:02:498
0.5908;-6.6373;3.1161;2706;2014-12-10 14:48:02:549
0.823;-8.0236;-1.306;2755;2014-12-10 14:48:02:598
2.9969;-12.9317;4.9021;2806;2014-12-10 14:48:02:649
-0.3454;-7.03;-3.1544;2855;2014-12-10 14:48:02:698
1.831;-4.1354;-3.7074;2906;2014-12-10 14:48:02:749
-3.8194;-10.3148;2.0435;2956;2014-12-10 14:48:02:799
7.2754;-11.2222;0.9206;3006;2014-12-10 14:48:02:849
10.9002;-3.2495;-8.9316;3055;2014-12-10 14:48:02:898
8.4174;-9.6588;-9.1997;3106;2014-12-10 14:48:02:949
8.9513;-11.4018;-6.3889;3156;2014-12-10 14:48:02:999
7.6345;-6.2614;-6.705;3206;2014-12-10 14:48:03:049
12.7653;-0.2831;-3.7026;3256;2014-12-10 14:48:03:099
13.2298;-2.3158;-6.9085;3305;2014-12-10 14:48:03:148
-0.3406;-2.0405;9.8055;3355;2014-12-10 14:48:03:198
-4.0444;6.9641;-13.8469;3405;2014-12-10 14:48:03:248
7.4023;-1.0708;-13.2028;3455;2014-12-10 14:48:03:298
3.8014;0.562;-10.3992;3505;2014-12-10 14:48:03:348
3.3345;-0.0652;-9.7241;3556;2014-12-10 14:48:03:399
7.1796;-2.7563;-9.2979;3605;2014-12-10 14:48:03:448
7.0264;-2.5432;-5.2469;3655;2014-12-10 14:48:03:498
6.672;-2.6749;-6.0705;3705;2014-12-10 14:48:03:548
7.0815;-2.6582;-6.9947;3755;2014-12-10 14:48:03:598
6.7941;-2.6749;-6.3578;3806;2014-12-10 14:48:03:649
6.9953;-2.979;-5.9173;3855;2014-12-10 14:48:03:698
7.2802;-3.1705;-5.1727;3905;2014-12-10 14:48:03:748
7.9003;-2.7851;-6.4392;3956;2014-12-10 14:48:03:799
7.8931;-3.6661;-4.9931;4006;2014-12-10 14:48:03:849
10.1245;-4.121;-2.4912;4055;2014-12-10 14:48:03:898
8.8556;-4.7363;-1.5407;4106;2014-12-10 14:48:03:949
7.9386;-1.7268;-4.124;4155;2014-12-10 14:48:03:998
5.8077;-0.5656;-5.7233;4205;2014-12-10 14:48:04:048
5.4941;-0.568;-8.0721;4256;2014-12-10 14:48:04:099
7.747;-1.7915;-10.4351;4305;2014-12-10 14:48:04:148
9.7821;-4.3173;-7.6339;4355;2014-12-10 14:48:04:198
7.5986;-4.0229;-2.6803;4406;2014-12-10 14:48:04:249
8.3169;-4.5137;-3.8391;4456;2014-12-10 14:48:04:299
8.2522;-4.3341;-4.5765;4505;2014-12-10 14:48:04:348
8.0607;-4.1641;-4.1288;4555;2014-12-10 14:48:04:398
7.9362;-3.1011;-3.6931;4605;2014-12-10 14:48:04:448
8.4438;-3.7547;-5.0075;4655;2014-12-10 14:48:04:498
8.0774;-3.7212;-4.373;4706;2014-12-10 14:48:04:549
7.8356;-4.0588;-3.8439;4756;2014-12-10 14:48:04:599
8.0607;-3.884;-3.9205;4806;2014-12-10 14:48:04:649
7.9194;-3.7188;-3.9037;4855;2014-12-10 14:48:04:698
8.0391;-3.7547;-3.8894;4905;2014-12-10 14:48:04:748
8.0248;-3.7499;-3.9397;4955;2014-12-10 14:48:04:798
7.9051;-3.726;-3.8032;5012;2014-12-10 14:48:04:855
8.0439;-3.7954;-3.8966;5055;2014-12-10 14:48:04:898
7.9697;-3.7332;-3.9468;5105;2014-12-10 14:48:04:948
8.0343;-3.8385;-3.9564;5156;2014-12-10 14:48:04:999
7.9505;-3.8457;-3.9301;5206;2014-12-10 14:48:05:049
7.9482;-3.7044;-3.9468;5256;2014-12-10 14:48:05:099
