sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.2975;-9.3404;2.0554;6;2014-12-10 14:47:20:670
0.1383;-9.429;2.0674;56;2014-12-10 14:47:20:720
-0.0916;-9.4888;2.0674;106;2014-12-10 14:47:20:770
-0.0605;-9.4673;2.1727;156;2014-12-10 14:47:20:820
-0.1682;-9.4673;2.3092;206;2014-12-10 14:47:20:870
-0.1251;-9.3308;2.077;256;2014-12-10 14:47:20:920
-0.173;-9.6157;1.9668;306;2014-12-10 14:47:20:970
0.404;-9.2542;1.409;356;2014-12-10 14:47:21:020
-0.2304;-9.6684;1.7394;406;2014-12-10 14:47:21:070
0.6171;-9.3931;1.737;456;2014-12-10 14:47:21:120
0.0162;-9.2614;1.8974;506;2014-12-10 14:47:21:170
0.1957;-9.4721;1.646;556;2014-12-10 14:47:21:220
-0.1035;-9.6804;1.6316;606;2014-12-10 14:47:21:270
0.5285;-9.4984;1.1624;657;2014-12-10 14:47:21:321
0.4471;-9.3404;0.8775;706;2014-12-10 14:47:21:370
0.179;-9.4625;0.8224;756;2014-12-10 14:47:21:420
0.6817;-9.7498;0.8128;806;2014-12-10 14:47:21:470
0.5333;-9.6995;0.6213;856;2014-12-10 14:47:21:520
0.8685;-9.5918;-0.018;907;2014-12-10 14:47:21:571
0.4567;-9.757;0.0204;956;2014-12-10 14:47:21:620
0.6027;-9.7282;-0.0227;1006;2014-12-10 14:47:21:670
0.7392;-9.5654;0.2646;1056;2014-12-10 14:47:21:720
0.5022;-9.4984;0.4298;1106;2014-12-10 14:47:21:770
0.5692;-9.7067;0.1137;1157;2014-12-10 14:47:21:821
0.3705;-9.5846;0.2909;1206;2014-12-10 14:47:21:870
0.8254;-9.5487;-0.0251;1256;2014-12-10 14:47:21:920
0.5692;-9.5367;0.1257;1306;2014-12-10 14:47:21:970
0.8685;-9.5056;-0.2023;1357;2014-12-10 14:47:22:021
0.7632;-9.4409;-0.4657;1407;2014-12-10 14:47:22:071
0.9858;-9.5894;-0.6381;1457;2014-12-10 14:47:22:121
0.7679;-9.8647;0.2741;1506;2014-12-10 14:47:22:170
