sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.0728;-9.8001;1.239;1.9903;-9.4719;1.5785;0.0825;-0.3282;-0.3395;-0.2962;-0.5764;0.2006;7.0;-49.86;39.9;-28.62;154.72;70.5;-41.61;2.0;60.134;;;;;;0 / 0;91.4;7.0;3.569;4;2014-11-21 16:40:18:308
3.4854;-11.7944;-2.8814;2.5724;-9.2338;2.0714;0.9129;-2.5606;-4.9529;1.2357;1.7725;-0.0998;3.0;-45.36;44.04;-19.68;157.14;70.32;-51.16;2.0;70.521;;;;;;0 / 0;91.4;7.0;3.569;504;2014-11-21 16:40:18:808
0.7392;-10.1616;2.223;1.432;-9.4077;2.3698;-0.6928;-0.7539;-0.1468;-1.5681;-0.4518;0.0887;11.0;-53.82;45.12;-27.54;139.44;73.6;-31.14;2.0;69.913;;;;;;0 / 0;91.4;7.0;3.569;1027;2014-11-21 16:40:19:331
2.3074;-5.8161;-0.753;2.0668;-8.1787;5.0007;0.2406;2.3626;-5.7537;2.0368;0.7615;-0.038;3.0;-53.76;54.9;-19.26;92.01;56.51;-22.46;2.0;71.017;;;;;;0 / 0;91.4;7.0;3.569;1534;2014-11-21 16:40:19:838
1.1965;-9.6636;1.974;1.4251;-9.1791;3.144;-0.2286;-0.4845;-1.17;-1.5553;-0.4625;0.207;11.0;-60.36;56.04;-28.26;90.13;55.55;-10.6;2.0;68.819;;;;;;0 / 0;91.4;7.0;3.569;2034;2014-11-21 16:40:20:338
1.4886;-6.6972;0.2143;1.9179;-8.3634;4.7482;-0.4293;1.6662;-4.5339;2.2147;0.5272;-0.3139;5.0;-54.9;55.68;-43.14;176.53;72.43;-49.51;2.0;68.121;;;;;;0 / 0;91.4;7.0;3.569;2541;2014-11-21 16:40:20:845
0.1335;-10.6165;3.4512;2.0222;-8.9156;3.5488;-1.8887;-1.7009;-0.0976;-1.5777;-0.4944;0.1761;13.0;-55.08;42.84;-37.2;140.75;65.39;-29.68;2.0;67.004;;;;;;0 / 0;91.4;7.0;3.569;3041;2014-11-21 16:40:21:345
3.4494;-11.8711;0.2023;2.5856;-8.4551;4.2422;0.8639;-3.4159;-4.0399;2.3894;-0.6883;-0.511;5.0;-44.22;36.06;-30.06;137.05;59.56;-31.36;2.0;65.865;;;;;;0 / 0;91.4;7.0;3.569;3557;2014-11-21 16:40:21:861
1.2827;-8.8951;3.1615;1.0992;-8.6265;4.533;0.1835;-0.2686;-1.3714;-1.6735;0.1991;0.0472;15.0;-37.62;29.76;-29.7;102.0;47.13;-11.42;2.0;62.623;;;;;;0 / 0;91.4;7.0;3.569;4066;2014-11-21 16:40:22:370
0.1143;-9.1584;2.2757;0.9254;-9.4059;2.6161;-0.811;0.2475;-0.3404;-0.0426;0.3067;-0.1541;9.0;-30.06;24.54;-37.62;155.92;72.78;-18.78;2.0;61.987;;;;;;0 / 0;91.4;7.0;3.569;4581;2014-11-21 16:40:22:885
1.0409;-9.4361;2.1416;1.16;-9.4568;2.3225;-0.1191;0.0206;-0.1809;-0.0661;0.0095;0.0046;9.0;-28.02;27.84;-23.82;150.04;73.95;-26.49;2.0;52.671;;;;;;0 / 0;91.4;7.0;3.569;5085;2014-11-21 16:40:23:389
