sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
4.0504;-8.5671;2.3068;2.2092;-9.3667;1.8856;1.8411;0.7997;0.4212;-0.1225;-0.3581;0.2262;9.0;-47.52;42.84;-22.56;159.42;72.77;-49.52;2.0;60.798;;;;;;0 / 0;92.1;7.0;3.566;19;2014-11-21 16:41:56:422
2.4966;-11.3491;-2.1201;2.6953;-9.2805;1.6664;-0.1987;-2.0686;-3.7864;2.1827;-0.5423;-1.5379;3.0;-43.08;45.54;-20.28;225.16;82.1;-104.5;2.0;65.629;;;;;;0 / 0;92.1;7.0;3.566;536;2014-11-21 16:41:56:939
-0.7141;-10.3627;3.4512;0.8794;-9.1566;3.3992;-1.5935;-1.2061;0.0521;-1.6554;0.3226;0.1644;11.0;-50.4;44.7;-20.4;107.47;69.02;-14.51;2.0;68.533;;;;;;0 / 0;92.1;7.0;3.566;1056;2014-11-21 16:41:57:459
3.6745;-16.0944;9.4607;1.2742;-9.6866;0.8472;2.4003;-6.4078;8.6134;1.6117;-0.6127;-1.3984;5.0;-55.5;49.68;-43.8;185.74;81.02;-56.38;2.0;70.8;;;;;;0 / 0;92.1;7.0;3.566;1556;2014-11-21 16:41:57:959
-3.0053;-14.1096;2.1679;0.1867;-8.2726;5.2632;-3.1921;-5.8371;-3.0953;-1.6054;0.1053;0.5937;13.0;-58.26;57.96;-22.68;80.05;57.52;-2.03;2.0;66.152;;;;;;0 / 0;92.1;7.0;3.566;2059;2014-11-21 16:41:58:462
1.151;-12.6803;2.8192;1.0874;-9.7131;0.8022;0.0636;-2.9672;2.017;1.0312;-0.2569;-1.1384;5.0;-59.4;51.6;-54.12;186.71;82.08;-53.58;2.0;69.471;;;;;;0 / 0;92.1;7.0;3.566;2571;2014-11-21 16:41:58:974
6.1166;-14.349;19.8246;0.8775;-7.662;6.0575;5.2391;-6.687;13.7671;-0.3047;-0.2995;0.3625;11.0;-55.32;53.22;-28.86;84.89;51.38;-8.24;2.0;62.636;;;;;;0 / 0;92.1;7.0;3.566;3073;2014-11-21 16:41:59:476
4.0049;-15.7425;8.7113;1.0148;-9.7535;-0.1062;2.9901;-5.9889;8.8175;-0.3515;0.2001;-0.6708;5.0;-47.28;35.16;-43.2;238.08;86.15;-103.77;2.0;64.841;;;;;;0 / 0;92.1;7.0;3.566;3573;2014-11-21 16:41:59:976
2.8222;-11.5215;5.5246;1.0442;-7.0393;6.7475;1.778;-4.4822;-1.2228;-0.8884;-0.0214;0.5649;13.0;-41.88;38.64;-16.14;70.55;42.1;-9.55;2.0;64.445;;;;;;0 / 0;92.1;7.0;3.566;4088;2014-11-21 16:42:00:491
1.1869;-9.3835;3.3148;0.7916;-9.3235;2.9353;0.3953;-0.06;0.3795;-0.6232;-0.2601;0.1622;7.0;-29.46;33.6;-37.08;149.03;71.94;-15.09;2.0;56.126;;;;;;0 / 0;92.1;7.0;3.566;4589;2014-11-21 16:42:00:992
1.3785;-9.3715;1.2558;1.2864;-9.5436;1.8542;0.092;0.1721;-0.5984;-0.0437;-0.0491;-0.0508;7.0;-23.46;35.88;-22.38;157.97;76.26;-30.62;2.0;63.484;;;;;;0 / 0;92.1;7.0;3.566;5122;2014-11-21 16:42:01:525
2.4032;-9.1656;1.6987;2.0107;-9.471;1.558;0.3925;0.3054;0.1407;0.3409;-1.7898;-0.4269;7.0;-24.54;35.16;-18.18;176.99;74.97;-52.23;2.0;71.096;;;;;;0 / 0;92.1;7.0;3.566;5633;2014-11-21 16:42:02:036
