sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.2004;-6.9127;2.7402;3.0523;-8.9194;2.7016;0.1481;2.0068;0.0386;-0.0735;0.4249;-0.3981;13.0;-20.4;20.34;-35.4;201.25;68.13;-45.71;2.0;60.84;;;;;;0 / 0;91.8;7.0;3.566;12;2014-11-21 16:41:27:627
2.973;-7.3484;2.0195;2.2981;-9.5196;0.5154;0.6749;2.1712;1.5042;-0.4261;0.3791;-0.1829;13.0;-16.38;23.28;-32.58;228.0;76.35;-66.64;2.0;72.099;;;;;;0 / 0;91.8;7.0;3.566;530;2014-11-21 16:41:28:145
2.645;-3.0221;1.002;2.7788;-8.3369;4.3525;-0.1338;5.3148;-3.3505;-0.294;-1.0015;0.0568;13.0;-10.5;29.52;-21.48;216.9;58.23;-32.56;2.0;72.395;;;;;;0 / 0;91.8;7.0;3.566;1030;2014-11-21 16:41:28:645
4.6657;-7.2048;6.2333;3.4441;-9.165;0.5589;1.2216;1.9603;5.6744;-0.3739;0.3322;-0.1264;13.0;-5.88;43.44;-34.2;277.16;69.76;-80.55;2.0;64.304;;;;;;0 / 0;91.8;7.0;3.566;1569;2014-11-21 16:41:29:184
3.1717;-9.7115;7.0186;3.2058;-8.8181;2.8519;-0.0341;-0.8933;4.1667;-1.4157;-0.8001;0.3007;17.0;-8.16;51.24;-22.92;285.06;64.05;-48.34;2.0;53.111;;;;;;0 / 0;91.8;7.0;3.566;2069;2014-11-21 16:41:29:684
4.7926;-9.6301;7.5573;3.3878;-9.1729;0.743;1.4048;-0.4571;6.8143;0.0309;0.3546;-0.2266;11.0;-9.0;56.82;-35.4;278.68;69.29;-77.63;2.0;58.262;;;;;;0 / 0;91.8;7.0;3.566;2596;2014-11-21 16:41:30:211
-4.8369;-9.6061;-11.4311;2.4497;-9.4421;-1.0078;-7.2866;-0.164;-10.4233;-0.6701;0.3141;-0.0125;13.0;-13.2;51.96;-34.62;292.28;74.33;-112.36;2.0;71.236;;;;;;0 / 0;91.8;7.0;3.566;3111;2014-11-21 16:41:30:726
2.4511;-7.0587;3.3507;2.2559;-9.5162;-0.7242;0.1951;2.4575;4.0749;-0.0394;-0.1067;-0.2511;13.0;-15.6;45.18;-42.78;294.32;76.68;-123.16;2.0;57.035;;;;;;0 / 0;91.8;7.0;3.566;3612;2014-11-21 16:41:31:227
7.6249;-6.6134;9.9994;3.089;-9.0754;2.0653;4.536;2.462;7.9341;-1.028;0.083;0.2166;13.0;-25.32;41.34;-34.74;210.04;65.41;-51.56;2.0;72.392;;;;;;0 / 0;91.8;7.0;3.566;4112;2014-11-21 16:41:31:727
4.0241;-7.1856;3.8559;2.7689;-9.2528;1.6999;1.2552;2.0672;2.156;0.1076;-0.6169;-0.1264;13.0;-30.18;37.02;-42.9;212.34;70.65;-58.45;2.0;69.979;;;;;;0 / 0;91.8;7.0;3.566;4623;2014-11-21 16:41:32:238
2.9945;-9.1728;1.8256;2.8715;-9.2159;1.73;0.123;0.0431;0.0956;-0.0437;-0.0864;0.0067;13.0;-29.58;37.86;-37.26;209.12;70.01;-58.93;2.0;51.005;;;;;;0 / 0;91.8;7.0;3.566;5123;2014-11-21 16:41:32:738
