sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3621;-8.9884;1.1025;2.0023;-9.4369;1.7624;-2.3644;0.4485;-0.6599;-0.0927;0.3184;0.2027;13.0;-15.72;23.46;-30.9;210.41;72.07;-50.51;2.0;66.461;;;;;;0 / 0;91.9;7.0;3.569;17;2014-11-21 16:42:05:848
5.2499;-16.4033;-5.7138;3.7604;-8.7753;2.2413;1.4895;-7.6279;-7.955;1.7726;1.8577;-0.2713;13.0;-9.78;25.8;-26.82;244.94;63.49;-59.2;2.0;61.75;;;;;;0 / 0;91.9;7.0;3.569;523;2014-11-21 16:42:06:354
-4.4945;-12.7569;-1.5455;2.5989;-9.3091;1.6608;-7.0934;-3.4478;-3.2063;-0.6445;-0.5711;0.567;13.0;-8.4;38.82;-32.88;244.91;71.67;-57.42;2.0;73.293;;;;;;0 / 0;91.9;7.0;3.569;1034;2014-11-21 16:42:06:865
6.1381;-17.5477;-1.7107;3.9789;-8.4343;3.0333;2.1593;-9.1134;-4.744;1.4211;1.3219;0.4967;13.0;-7.02;44.88;-26.82;283.36;59.32;-52.68;2.0;61.99;;;;;;0 / 0;91.9;7.0;3.569;1534;2014-11-21 16:42:07:365
2.5085;-10.5614;-6.3794;2.6085;-9.4339;0.6083;-0.1;-1.1275;-6.9876;-0.7627;0.1021;0.4637;13.0;-10.74;52.62;-28.02;277.93;62.93;-57.53;2.0;71.541;;;;;;0 / 0;91.9;7.0;3.569;2034;2014-11-21 16:42:07:865
-1.7364;-8.5431;-4.78;2.8539;-8.7477;3.392;-4.5903;0.2046;-8.172;2.1103;-0.0843;-0.4503;13.0;-13.44;57.24;-30.0;266.9;66.49;-60.84;2.0;65.985;;;;;;0 / 0;91.9;7.0;3.569;2536;2014-11-21 16:42:08:367
-0.3525;-17.993;5.7593;1.9362;-9.5565;1.0467;-2.2887;-8.4366;4.7125;-0.9896;1.0225;0.3614;13.0;-17.7;52.08;-41.46;236.19;68.62;-56.31;2.0;72.654;;;;;;0 / 0;91.9;7.0;3.569;3056;2014-11-21 16:42:08:887
9.4038;-16.7337;11.0504;3.185;-9.1458;1.5428;6.2188;-7.5878;9.5077;0.262;0.0244;-0.5099;13.0;-20.4;48.3;-37.92;239.66;68.85;-64.16;2.0;61.912;;;;;;0 / 0;91.9;7.0;3.569;3564;2014-11-21 16:42:09:395
-3.7595;-10.4657;-5.5055;2.8229;-9.3265;1.1048;-6.5824;-1.1392;-6.6102;-0.7585;0.1969;3.0E-4;13.0;-26.28;43.8;-33.78;196.87;67.51;-46.46;2.0;73.631;;;;;;0 / 0;91.9;7.0;3.569;4071;2014-11-21 16:42:09:902
5.4318;-6.4578;4.4448;2.1822;-9.3465;2.0132;3.2497;2.8888;2.4316;0.1129;-0.4912;-0.0913;13.0;-29.64;39.0;-41.94;196.15;72.38;-47.31;2.0;63.898;;;;;;0 / 0;91.9;7.0;3.569;4571;2014-11-21 16:42:10:402
2.6618;-9.0938;2.1009;2.277;-9.3214;2.0247;0.3847;0.2276;0.0762;-0.0756;0.0531;0.0483;13.0;-28.44;38.94;-42.18;199.98;71.65;-47.94;2.0;55.065;;;;;;0 / 0;91.9;7.0;3.569;5085;2014-11-21 16:42:10:916
