sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.5101;-8.9669;-0.4513;2.6879;-9.3128;1.4893;-1.1778;0.346;-1.9407;-0.1289;-0.3389;0.1953;7.0;-49.32;36.48;-30.12;183.3;71.74;-61.01;2.0;67.137;;;;;;0 / 0;91.0;8.0;3.572;15;2014-11-21 16:39:53:650
2.9443;-13.6523;-0.7458;3.2004;-9.1031;1.7497;-1.0774;-4.5948;1.261;2.6653;-1.4531;-1.2673;7.0;-52.38;39.72;-13.98;159.42;68.16;-61.33;2.0;71.197;;;;;;0 / 0;91.0;8.0;3.574;520;2014-11-21 16:39:54:155
0.9738;-9.3595;1.5574;2.0099;-9.0673;3.149;0.2879;-1.3098;-1.503;-1.4903;-0.8257;0.2347;7.0;-55.56;55.44;-43.08;149.23;67.61;-32.55;2.0;68.31;;;;;;0 / 0;91.0;8.0;3.574;1028;2014-11-21 16:39:54:663
1.1127;-9.2015;-3.0897;3.0535;-9.1749;1.6337;-2.8314;-4.0417;1.2405;1.8301;0.9895;0.354;7.0;-56.28;57.12;-2.7;139.04;69.32;-61.85;2.0;67.836;;;;;;0 / 0;91.0;8.0;3.574;1540;2014-11-21 16:39:55:175
3.0209;-11.6747;2.0506;1.3422;-8.9009;3.8915;-2.2838;0.5709;-2.8392;-1.3646;-0.9983;-0.0519;13.0;-58.86;46.08;-63.42;127.86;55.37;-13.65;2.0;60.252;;;;;;0 / 0;91.0;8.0;3.574;2041;2014-11-21 16:39:55:676
0.6626;-12.3667;1.7538;2.7043;-9.2421;1.8554;-2.0417;-3.1246;-0.1016;0.4762;-0.2856;-1.2982;5.0;-50.22;61.62;-18.48;226.78;79.33;-107.35;2.0;63.084;;;;;;0 / 0;91.0;8.0;3.574;2556;2014-11-21 16:39:56:191
3.1502;-9.6492;2.2661;2.0897;-8.0233;5.2375;1.0605;-1.626;-2.9714;-1.6853;-0.2878;-0.038;13.0;-53.76;37.5;-46.44;94.27;36.48;-12.7;2.0;62.737;;;;;;0 / 0;91.0;8.0;3.574;3065;2014-11-21 16:39:56:700
2.645;-14.6364;3.5303;1.4208;-9.6995;-0.2704;1.2242;-4.9368;3.8006;-1.1569;0.4483;0.0461;5.0;-47.52;30.78;-47.58;195.56;77.35;-58.66;2.0;63.328;;;;;;0 / 0;91.0;8.0;3.574;3565;2014-11-21 16:39:57:200
1.6897;-3.24;1.9333;2.3489;-5.7117;7.6176;-0.6592;2.4717;-5.6843;-0.3633;0.2257;0.4435;15.0;-42.78;36.3;-20.94;77.27;38.08;-18.23;2.0;57.008;;;;;;0 / 0;91.0;8.0;3.574;4077;2014-11-21 16:39:57:712
0.6482;-8.9334;3.4081;1.9347;-9.0646;3.2034;-1.2864;0.1312;0.2047;-0.6882;-0.0747;0.0323;9.0;-33.72;25.68;-37.68;165.43;67.57;-31.13;2.0;64.298;;;;;;0 / 0;91.0;8.0;3.574;4586;2014-11-21 16:39:58:221
